Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0027111	76	21	17	42	8	7	44	37	27	25	13	10	25.78	36	16	0.46	-1.119	0.000286027685540553	0.00215347263864923	0.0231	0.0237
FBgn0030960	575	162	209	433	142	159	329	284	336	253	225	221	274.74	316	233	0.738	-0.438	0.000286184488676866	0.00215347263864923	0.0062	0.008
FBgn0026439	624	206	232	504	170	171	357	362	373	295	269	237	315.53	364	267	0.741	-0.432	0.000296275329143588	0.00222328476636387	0.0065	0.0074
FBgn0005617	3216	910	921	2408	831	923	1842	1598	1481	1408	1315	1281	1487.48	1640	1335	0.813	-0.298	0.000300936588999372	0.00225413872417612	0.0041	0.0049
FBgn0026143	558	243	268	434	196	237	320	427	431	254	310	329	345.01	393	298	0.765	-0.387	0.000304134650971677	0.00227601497013659	0.0049	0.0071
FBgn0033204	713	250	268	535	220	236	408	439	431	313	348	328	377.8	426	330	0.772	-0.373	0.000305362381027622	0.00228311964374526	0.0046	0.0067
FBgn0027506	1167	348	420	889	324	372	668	611	675	520	513	516	583.94	651	516	0.791	-0.339	0.000307426920806521	0.00229645131297919	0.0043	0.0056
FBgn0034365	728	273	286	615	208	230	417	479	460	360	329	319	394.03	452	336	0.755	-0.406	0.000315685899652791	0.00234716409259867	0.0061	0.0066
FBgn0039069	91	26	29	53	10	19	52	46	47	31	16	26	36.26	48	24	0.529	-0.918	0.000317311259702003	0.00235315275956223	0.0156	0.0219
FBgn0261041	3361	1034	1116	2509	1022	1003	1925	1816	1794	1467	1618	1392	1668.59	1845	1492	0.807	-0.31	0.000327913958284964	0.00242301827554349	0.0046	0.0048
FBgn0052529	22950	8088	7407	15820	6636	7421	13145	14203	11907	9250	10503	10300	11551.37	13085	10018	0.764	-0.388	0.000328735076360942	0.00242689927660886	0.0083	0.0087
FBgn0259938	2572	865	761	1994	644	810	1473	1519	1223	1166	1019	1124	1254.15	1405	1103	0.786	-0.348	0.000329382741483425	0.0024294939259416	0.0057	0.0049
FBgn0014417	2863	897	1000	2159	848	981	1640	1575	1608	1262	1342	1362	1464.78	1608	1322	0.819	-0.287	0.000334574542373289	0.00246114833770916	0.0038	0.0049
FBgn0263593	4528	1607	1684	3292	1543	1643	2594	2822	2707	1925	2442	2280	2461.67	2708	2216	0.813	-0.298	0.000341696951004955	0.00250904063754936	0.0045	0.0049
FBgn0033192	1146	441	368	861	345	341	656	774	592	503	546	473	590.86	674	507	0.754	-0.407	0.000351261542097422	0.00257006883878952	0.0073	0.0056
FBgn0085438	174	42	72	88	42	40	100	74	116	51	66	56	77.1	97	58	0.584	-0.775	0.000390226277880825	0.00283503877140298	0.0188	0.017
FBgn0261261	2233	930	906	1844	809	819	1279	1633	1456	1078	1280	1137	1310.65	1456	1165	0.804	-0.316	0.00039007427976207	0.00283503877140298	0.0048	0.0049
FBgn0004797	481	144	134	394	95	85	276	253	215	230	150	118	207.08	248	166	0.671	-0.576	0.000402781109218957	0.00291580817106256	0.0129	0.0094
FBgn0023169	1632	658	763	1316	626	676	935	1155	1227	769	991	938	1002.56	1106	899	0.814	-0.296	0.000411981532581091	0.00296670108009667	0.0039	0.005
FBgn0036110	95	44	58	54	28	42	54	77	93	32	44	58	59.85	75	45	0.595	-0.749	0.000421194300001735	0.00302772624768995	0.0128	0.0193
FBgn0005386	1885	595	554	1502	502	532	1080	1045	891	878	795	738	904.38	1005	804	0.8	-0.321	0.000423780336731808	0.00304364826784089	0.0046	0.0051
FBgn0011300	2927	815	892	2476	727	819	1677	1431	1434	1448	1151	1137	1379.45	1514	1245	0.822	-0.282	0.000425652745361529	0.00305442153758116	0.0037	0.0049
FBgn0053111	532	166	146	367	121	143	305	291	235	215	192	198	239.25	277	202	0.726	-0.461	0.00042886619830421	0.00307479069798176	0.0074	0.0087
FBgn0031987	722	187	222	468	176	202	414	328	357	274	279	280	321.9	366	278	0.748	-0.419	0.000438592397799875	0.0031390356428923	0.0065	0.0072
FBgn0000578	15536	4630	4062	11542	3760	4106	8899	8130	6530	6749	5951	5699	6992.94	7853	6133	0.782	-0.354	0.000440194992982114	0.00314501684010392	0.0071	0.0068
