Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0087115	234	75	81	40	9	10	121	112	114	20	12	12	65.46	116	15	0.132	-2.925	-7.571	3.70076545845719e-14	4.14368618516241e-12	0	0.1255	0.0698	0.0698	TRUE	NA
FBtr0087789	449	150	170	108	42	59	232	225	239	55	58	73	147.1	232	62	0.265	-1.917	-7.567	3.82983894923909e-14	4.26123778937036e-12	0	0.0702	0.0358	0.0358	TRUE	NA
FBtr0090022	5515	1720	1646	2795	735	714	2854	2577	2319	1427	1009	886	1845.36	2583	1107	0.422	-1.243	-7.506	6.10584815499112e-14	6.66781232777457e-12	0.0114	0.0295	0.019	0.019	TRUE	NA
FBtr0301450	546	392	317	128	119	142	283	587	447	65	163	176	286.89	439	135	0.292	-1.775	-7.461	8.57123155290193e-14	9.18991863044776e-12	0.0243	0.0486	0.0357	0.0357	TRUE	NA
FBtr0076771	1119	510	535	350	242	200	579	764	754	179	332	248	476	699	253	0.355	-1.494	-7.439	1.01701164705406e-13	1.08385259325502e-11	0.0141	0.0396	0.0263	0.0263	TRUE	NA
FBtr0273370	3630	1917	1451	958	712	629	1879	2872	2044	489	978	780	1506.99	2265	749	0.322	-1.637	-7.432	1.06847485469677e-13	1.13187956014614e-11	0.0339	0.0303	0.0341	0.0341	TRUE	NA
FBtr0078937	873	467	518	398	174	222	452	700	730	203	239	275	433.13	627	239	0.389	-1.362	-7.394	1.42733304520294e-13	1.48534993545207e-11	0.0062	0.041	0.0215	0.0215	TRUE	NA
FBtr0308254	6184	1033	736	1051	322	287	3200	1548	1037	537	442	356	1186.61	1928	445	0.251	-1.993	-7.362	1.80750365819512e-13	1.86997352146958e-11	0.0729	0.0314	0.0511	0.0511	TRUE	NA
FBtr0343580	1332	617	501	500	230	207	689	924	706	255	316	257	524.58	773	276	0.358	-1.483	-7.359	1.85550660461735e-13	1.90847484548172e-11	0.0168	0.0384	0.0267	0.0267	TRUE	NA
FBtr0300599	1517	297	428	533	122	155	785	445	603	272	168	192	410.83	611	211	0.345	-1.537	-7.355	1.91599958548811e-13	1.95930339114857e-11	0.0156	0.0418	0.0278	0.0278	TRUE	NA
FBtr0086583	104	188	114	19	18	18	54	282	161	10	25	22	92.14	166	19	0.127	-2.982	-7.293	3.02033681302627e-13	3.05330163195701e-11	0.0822	0.0967	0.0895	0.0895	TRUE	NA
FBtr0075811	8923	3572	3317	2776	1669	1857	4618	5352	4673	1418	2292	2304	3442.55	4881	2005	0.401	-1.319	-7.2	6.02702436824534e-13	5.93790111747619e-11	0.0205	0.0278	0.0238	0.0238	TRUE	NA
FBtr0343497	396	313	221	98	25	17	205	469	311	50	34	21	181.78	328	35	0.11	-3.186	-7.2	6.0265727316555e-13	5.93790111747619e-11	0.2088	0.0618	0.1251	0.1251	TRUE	NA
FBtr0079708	1154	377	462	492	158	207	597	565	651	251	217	257	422.98	604	242	0.401	-1.32	-7.19	6.46758521687374e-13	6.3214392304814e-11	0.0044	0.0413	0.0212	0.0212	TRUE	NA
FBtr0310647	2609	1056	807	951	206	150	1350	1582	1137	486	283	186	837.29	1356	318	0.221	-2.177	-7.158	8.18913782765902e-13	7.9601119400613e-11	0.1012	0.0337	0.0644	0.0644	TRUE	NA
FBtr0301915	4063	1265	1126	1221	580	584	2103	1895	1586	624	796	724	1288.1	1861	715	0.383	-1.384	-7.089	1.35297693152972e-12	1.27316568594108e-10	0.0226	0.031	0.0264	0.0264	TRUE	NA
FBtr0089877	1391	371	390	498	162	209	720	556	549	254	222	259	426.86	608	245	0.404	-1.306	-7.072	1.52298212267348e-12	1.41879961113218e-10	0.006	0.0412	0.0215	0.0215	TRUE	NA
FBtr0081211	214	140	102	35	18	32	111	210	144	18	25	40	91.08	155	28	0.175	-2.513	-7.051	1.77955503153879e-12	1.63969312827879e-10	0.0386	0.0975	0.0699	0.0699	TRUE	NA
FBtr0309828	1663	834	700	379	305	353	861	1250	986	194	419	438	691.09	1032	350	0.321	-1.641	-7.016	2.27639246821134e-12	2.08661446399621e-10	0.0394	0.0354	0.0374	0.0374	TRUE	NA
FBtr0310653	230	121	95	42	7	18	119	181	134	21	10	22	81.26	145	18	0.127	-2.974	-7.008	2.41917807900575e-12	2.20606594823148e-10	0.0871	0.1061	0.0987	0.0987	TRUE	NA
FBtr0330186	4343	1234	1068	1951	566	662	2248	1849	1505	996	777	821	1365.94	1867	865	0.465	-1.105	-7.003	2.50535988837752e-12	2.27293957873265e-10	0.0074	0.0307	0.017	0.017	TRUE	NA
FBtr0334309	1029	213	282	103	77	41	533	319	397	53	106	51	243.02	416	70	0.166	-2.588	-6.938	3.96888091752247e-12	3.58232001591276e-10	0.1426	0.0527	0.0914	0.0914	TRUE	NA
FBtr0088370	182	50	59	25	6	8	94	75	83	13	8	10	47.19	84	10	0.124	-3.015	-6.921	4.48047962265915e-12	4.00324065679107e-10	0	0.164	0.0824	0.0824	TRUE	NA
FBtr0081352	681	241	216	255	55	63	352	361	304	130	76	78	216.95	339	95	0.274	-1.865	-6.876	6.17187532252892e-12	5.43217145924672e-10	0	0.056	0.0456	0.0456	TRUE	NA
FBtr0332042	1918	701	584	656	251	345	993	1050	823	335	345	428	662.2	955	369	0.385	-1.376	-6.831	8.45214352524532e-12	7.32974858358406e-10	0.0196	0.0358	0.0273	0.0273	TRUE	NA
FBtr0113011	482	201	142	149	32	39	249	301	200	76	44	48	153.17	250	56	0.222	-2.169	-6.829	8.55393482820391e-12	7.38183712418319e-10	0.0533	0.0685	0.061	0.061	TRUE	NA
FBtr0079077	273	93	106	73	25	28	141	139	149	37	34	35	89.38	143	35	0.249	-2.008	-6.827	8.69563434917497e-12	7.46769258598322e-10	0	0.0988	0.0445	0.0445	TRUE	NA
FBtr0080391	21553	9806	10461	9428	5118	6762	11154	14692	14737	4815	7028	8389	10135.56	13528	6744	0.491	-1.026	-6.817	9.3200582283897e-12	7.92697837107895e-10	0.0092	0.0266	0.0162	0.0162	TRUE	NA
FBtr0307520	3761	1561	1378	1213	655	837	1946	2339	1941	619	899	1038	1463.92	2075	852	0.402	-1.314	-6.817	9.30745476798026e-12	7.92697837107895e-10	0.0222	0.0304	0.0259	0.0259	TRUE	NA
FBtr0081354	1294	440	363	557	146	184	670	659	511	284	200	228	425.57	613	237	0.386	-1.372	-6.807	9.93758335025585e-12	8.41176014590317e-10	0.0133	0.0412	0.0261	0.0261	TRUE	NA
FBtr0079253	7503	2761	2970	3408	1613	1908	3883	4137	4184	1740	2215	2367	3087.61	4068	2107	0.514	-0.961	-6.803	1.02638650812221e-11	8.64657319770951e-10	0.0052	0.028	0.014	0.014	TRUE	NA
FBtr0071935	46352	12878	17184	18532	7650	8921	23987	19294	24208	9464	10505	11067	16420.82	22496	10345	0.459	-1.122	-6.781	1.19636460103636e-11	1.00307517331442e-09	0.0162	0.0263	0.0197	0.0197	TRUE	NA
