Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0083195	244.44	26.826	31.57	212.984	35.082	28.824
FBtr0085012	1385.362	453	509	1404	414	411
FBtr0290136	8.035	0	0	7.015	1	0
FBtr0091898	129.107	65.594	7.846	0.258	7.362	0.32
FBtr0307309	1320.886	313.447	353.278	1608.51	431.982	416.967
FBtr0307310	997.034	289.793	288.415	1121.139	325.953	255.146
FBtr0307311	421.948	215.247	182.851	402.898	226.214	193.858
FBtr0307312	452.131	295.514	295.456	529.453	265.851	247.029
FBtr0078663	700.597	346.138	420.356	800.931	238.024	356.366
FBtr0078661	1176.803	512.164	662.051	1219.063	533.31	526.159
FBtr0114518	28.478	25.448	29.022	48.206	27.625	17.37
