Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0052512	2309	693	699	1709	667	763	1315	1219	1124	1007	1053	1056	1128.89	1219	1039	0.848	-0.238	0.00654944485422003	0.0304876473055844	0.0044	0.0046
FBgn0036974	4870	1429	1759	4054	1400	1713	2774	2513	2829	2388	2210	2370	2513.99	2705	2323	0.859	-0.22	0.0065704078559327	0.0305679697315515	0.0042	0.0048
FBgn0261067	487	141	143	352	113	148	277	248	230	207	178	205	224.31	252	197	0.78	-0.359	0.00669916300458933	0.0310618109166673	0.0074	0.0098
FBgn0263197	10128	3680	3315	7587	3354	3543	5768	6473	5331	4469	5294	4903	5372.95	5857	4889	0.833	-0.264	0.0067965885371267	0.031407553755646	0.0066	0.0062
FBgn0263072	117	13	26	68	12	15	67	23	42	40	19	21	35.18	44	27	0.606	-0.723	0.00680344593557127	0.031421629295714	0.0188	0.0229
FBgn0028916	1568	649	657	1369	564	665	893	1141	1056	806	890	920	951.32	1030	872	0.853	-0.229	0.00692126606332708	0.0319300041556063	0.004	0.0048
FBgn0259174	6217	2059	1970	5204	1804	2129	3541	3621	3168	3066	2848	2946	3198.21	3443	2953	0.858	-0.221	0.00694110296806635	0.0320036089869905	0.0044	0.0051
FBgn0003744	1935	591	677	1515	603	675	1102	1039	1089	892	952	934	1001.41	1077	926	0.856	-0.224	0.006957154423383	0.0320596875720343	0.0038	0.0047
FBgn0037553	543	143	177	394	142	159	309	252	285	232	224	220	253.61	282	225	0.793	-0.334	0.00701075372861338	0.0322525969523933	0.0064	0.009
FBgn0030245	4750	1514	1858	3491	1538	1914	2705	2663	2988	2056	2428	2648	2581.44	2785	2377	0.848	-0.238	0.00710309360006653	0.0326094241129446	0.0052	0.0049
FBgn0039600	4517	1494	1619	3587	1441	1719	2573	2628	2603	2113	2275	2379	2428.34	2601	2256	0.865	-0.209	0.00710809499405161	0.0326094241129446	0.0039	0.0048
FBgn0013770	61410	23154	27408	46917	21268	24726	34976	40724	44073	27638	33571	34214	35866.07	39924	31808	0.796	-0.329	0.00719382492466029	0.0329111502102661	0.0107	0.0138
FBgn0026076	1445	337	395	1167	321	390	823	593	635	687	507	540	630.78	684	578	0.845	-0.243	0.00726805705151174	0.033140410582225	0.0039	0.0053
FBgn0010383	77	27	28	50	21	15	44	47	45	29	33	21	36.62	45	28	0.622	-0.686	0.00738138855366862	0.0336014175794832	0.0164	0.0235
FBgn0028399	5537	2171	2654	4988	2000	2466	3154	3818	4268	2938	3157	3412	3457.89	3747	3169	0.852	-0.232	0.00741073063506277	0.033683975237481	0.005	0.0053
FBgn0035488	1258	369	413	1051	342	405	716	649	664	619	540	560	624.83	676	573	0.849	-0.237	0.00741178203308958	0.033683975237481	0.0037	0.0054
FBgn0259113	3314	1132	1141	2949	1011	1136	1887	1991	1835	1737	1596	1572	1769.7	1904	1635	0.86	-0.217	0.00749929960436742	0.0340254408026445	0.004	0.0046
FBgn0261064	1637	495	571	1342	482	567	932	871	918	791	761	785	842.85	907	779	0.858	-0.222	0.00750581628612845	0.0340362758321468	0.0035	0.0049
FBgn0029951	63	20	14	50	6	4	36	35	23	29	9	6	23.01	31	15	0.485	-1.044	0.00760286587551018	0.0343818026756478	0.0526	0.0253
FBgn0036775	1010	310	423	756	295	405	575	545	680	445	466	560	545.35	600	490	0.813	-0.298	0.00765124976893189	0.0345816354687908	0.0068	0.0057
FBgn0032018	3353	1248	1184	2969	1069	1214	1910	2195	1904	1749	1687	1680	1854.14	2003	1705	0.854	-0.227	0.00766819819863444	0.0346392470956396	0.0046	0.0046
FBgn0031957	75	22	17	40	16	12	43	39	27	24	25	17	29.03	36	22	0.59	-0.76	0.00772048588461297	0.0348182087706506	0.02	0.0245
FBgn0032218	1028	260	240	878	212	229	585	457	386	517	335	317	432.91	476	390	0.818	-0.289	0.00774389113929699	0.0348665420821215	0.0056	0.0064
FBgn0002643	6332	2441	2028	5208	2020	2180	3606	4293	3261	3068	3189	3017	3405.63	3720	3091	0.831	-0.266	0.00779000286047893	0.0350358884788807	0.0068	0.0052
FBgn0033353	67	27	42	55	17	17	38	47	68	32	27	24	39.32	51	28	0.583	-0.779	0.00785332367358649	0.035282180035448	0.0316	0.0232
FBgn0031397	39	21	24	31	9	11	22	37	39	18	14	15	24.24	33	16	0.551	-0.859	0.00788085541605141	0.0353614547929683	0.0272	0.0259
FBgn0000017	282104	67791	49300	274004	36348	38520	160671	119234	79277	161408	57374	53302	105210.98	119727	90695	0.678	-0.561	0.00790508225508734	0.0353989669260945	0.0314	0.0199
FBgn0031698	10509	3283	2814	7634	2872	3190	5985	5774	4525	4497	4533	4414	4954.86	5428	4481	0.827	-0.274	0.00789788208369422	0.0353989669260945	0.0074	0.006
FBgn0026582	605	240	270	464	220	269	345	422	434	273	347	372	365.62	400	331	0.822	-0.283	0.00791961176200371	0.0354447770716387	0.005	0.0072
FBgn0034726	614	101	115	395	90	120	350	178	185	233	142	166	208.84	238	180	0.762	-0.391	0.00795064554280187	0.035472136048768	0.0095	0.01
FBgn0036762	5240	2072	2383	4269	2082	2390	2984	3644	3832	2515	3286	3307	3261.5	3487	3036	0.868	-0.204	0.00793564539406666	0.035472136048768	0.0039	0.0052
