"ID","SRR5285048","SRR5285050","SRR5285052","SRR5285054","SRR5285056","SRR5285058","SRR5285049","SRR5285051","SRR5285053","SRR5285055","SRR5285057","SRR5285059","padj","log2FoldChange","pvalue","foldChange","log10padj"
"ENSMUST00000034325.4",40.8862925033718,50.3293393189177,8.17960282292669,27.8386638550235,45.0177706333571,32.2203606925944,86.4305117190272,78.8631477999879,71.7027056005697,53.0756178943571,78.8757855317421,55.3859154577093,0.0452206875454751,1.06701436917227,0.0015925642987833,2.09509312112101,1.34466283882976
"ENSMUST00000057442.6",84.9012624292443,159.999135657485,167.034170550014,91.4316044783623,220.509543331981,158.906514597738,244.386243684833,516.09381560696,498.360644549017,338.664012503662,595.792991296831,429.815051178824,1.94976366347643e-06,1.57556019956628,1.06866954722612e-08,2.98051203663641,5.71001802754437
"ENSMUST00000022986.6",333.348138519163,214.101615797097,236.390008245179,366.745373869678,300.167035620268,189.371682167584,583.882726088872,614.094938581141,454.756416728345,768.56438439532,559.514073960935,411.578702797345,2.61463705126513e-05,1.04929295125474,1.99990644873437e-07,2.06951535271926,4.58258858885126
"ENSMUST00000025110.3",45.355565095164,23.2202494662828,30.8802051451509,35.8470742300845,36.2902141416098,9.09507386329988,259.613502710558,50.456970958834,87.2615503595717,112.906473174772,115.650043227636,25.0806669011021,0.0182199336491357,1.86287642666276,0.000435878602108523,3.63732144087276,1.73945320891443
"ENSMUST00000022953.8",40.6820996851625,19.4629424076372,29.4917799942687,37.9887645457157,46.3348920871904,15.5647704219544,99.9371561447644,68.0604478430166,92.4155722972445,86.8937405395492,120.892562999306,47.8283242239863,0.00056056370874919,1.45203662723075,6.35128220400547e-06,2.73594006713857,3.25137502216644
"ENSMUST00000204248.1",5.09075219585119,27.7959984730306,14.8757471075742,8.18444897023709,5.14223440084738,31.3909067556431,47.2524370143456,65.8782397396482,39.8158871975129,84.8085341904746,41.7393911705631,84.6964434407646,0.00271841557607668,1.99939696293884,4.15857094835029e-05,3.99832837563348,2.56568415003154
"ENSMUST00000034066.3",18.5275506428198,54.8774530974639,22.5156683187325,11.1144491788996,95.5965141177347,27.9199117902652,111.847458095456,99.2618748367053,142.917368330388,73.5642705633468,143.944085254412,102.465776661209,0.0264512964120745,1.56404361898766,0.000737883841338138,2.95681425863717,1.57755303777576
"ENSMUST00000066295.3",104.858633175153,120.095723086415,77.2810088671756,103.97851141285,175.322569335328,101.330400792556,234.502834141399,298.813558069987,194.206722258617,262.133154618209,350.287183492757,122.35281087752,0.00235843532582549,1.10216083455834,3.49535228333709e-05,2.14675988457696,2.62737602869206
"ENSMUST00000197452.4",22.863232192235,83.1444846864935,58.264990549367,123.523532156403,56.0141948096745,56.702359953186,123.108099418888,222.590344390669,138.219425388057,150.040025597971,194.704014884663,130.335495740462,0.00843918241402612,1.26959901840904,0.000165345565130829,2.41094546585302,2.07369962568194
"ENSMUST00000032180.6",119.716726558322,243.479233408143,141.560438499523,80.7801523662138,109.446960130177,187.360414048852,307.69497835922,461.651617659726,279.106188734299,193.883170608685,213.263592295395,349.086043956938,0.0165842212364073,1.03719929891444,0.000385300951500301,2.05223977463866,1.78030491731132
"ENSMUST00000208423.1",29.7069767353657,32.7232335276511,27.4089469757902,18.8200699567713,21.3288615790532,33.5516253038144,78.8648074684309,76.9511607324769,58.4885683370303,45.7296053024305,49.6817706348662,33.4639809314627,0.00477969745312711,1.08309102868649,8.1916444406915e-05,2.11857033905247,2.32059959263387
"ENSMUST00000052172.6",29.9254738772037,66.3138860859188,75.1580598949746,37.9971439066644,77.3489619775542,82.8158815758167,79.76370056465,158.037271904313,125.284604002026,116.622580206111,125.148143474488,140.09273346239,0.00942549344336231,1.01692221793711,0.00019208532795445,2.02359729804299,2.02569590434554
"ENSMUST00000122889.1",25.7548518358909,27.266314180643,45.3651755948033,34.1397221344187,30.404345322275,32.9659491724537,103.471848832494,88.0587198018171,53.6963194562377,45.0321639907933,52.6860738955602,48.9508852556161,0.0130662635126046,1.0099624024466,0.000288069209477007,2.0138586169889,1.88384858746596
