"ID","SRR5285048","SRR5285050","SRR5285052","SRR5285054","SRR5285056","SRR5285058","SRR5285049","SRR5285051","SRR5285053","SRR5285055","SRR5285057","SRR5285059","padj","log2FoldChange","pvalue","foldChange","log10padj"
"ENSMUST00000130129.1",62.7076664294195,60.2984610289586,41.4696071821653,46.8679832944098,22.5540895439313,56.3873317839602,13.2607251905449,23.8209404663431,19.0538185057612,10.5096247988267,13.3032507631359,27.8919363561356,0.00115103860717183,-1.45711971925317,1.48305448813452e-05,0.364219553166374,2.93891010938455
"ENSMUST00000020629.4",1804.11621455761,1667.54582732241,1099.39616167305,1035.0047147722,607.277760771473,1243.10094028593,392.042768029767,425.662418178027,252.781231377561,264.216180929266,217.969587561942,417.706408299455,4.65910317955513e-10,-1.92367218786363,1.42928966977518e-12,0.263582740831676,9.33169767164767
"ENSMUST00000109399.8",3048.6613698418,1831.57511858145,2157.32231913654,831.984648309001,734.966069915497,863.43961444876,563.992097645305,859.311314049996,335.631043649914,713.500646833992,1073.87563190546,506.706720439074,0.0406809950274586,-1.22696362268958,0.00135115215814367,0.427215642478923,1.3906084330932
"ENSMUST00000110351.7",122.771196449078,19.554964456724,26.5440428439387,283.172502469268,48.6576006472336,341.04156747937,28.4066392060105,15.6373927763227,14.6868848014003,16.6879031010798,17.5832264024892,0,0.00843918241402612,-3.22111890628083,0.000165178273798939,0.107237477474354,2.07369962568194
"ENSMUST00000138677.7",26.230084226394,69.9393774584916,37.5668170504603,44.9838906608716,47.0628656181403,39.6804574593333,16.9618565271193,13.1376134908721,21.7216052189214,26.1148366939086,23.201053487668,29.2973785512244,0.0175685922582187,-1.0376554861894,0.000412763828906591,0.487118443672146,1.75526303639777
"ENSMUST00000043077.7",543.693569062509,511.018061215661,231.184515896555,834.788627567279,216.88124951923,280.336265524474,99.5228842678493,111.379661295419,45.0434569982155,113.575426644239,78.3644361930912,80.1364434380162,1.01607846069789e-07,-2.31770653224751,4.19764089211743e-10,0.200586089927772,6.99307275491383
"ENSMUST00000063694.9",2621.50807204392,2273.15484581676,2120.45128420822,2082.57711687316,1682.36959470332,2087.14028221425,1185.40071142488,1117.17122019859,951.375257610073,829.705149854463,877.747835303142,1144.5399133409,4.56650261429473e-15,-1.07695756560559,6.53745056856658e-18,0.474027425061055,14.3404162893851
"ENSMUST00000103115.7",93.2810969473322,76.031495077145,127.311936317124,71.4262250733804,104.31784828176,46.6101428053859,38.8790428129798,37.4882987239939,64.866369819916,23.9229053371375,33.2526739757593,32.1868959999328,0.00536050959516171,-1.18149289048854,9.38439997844082e-05,0.440895026995475,2.27079392227611
"ENSMUST00000103111.8",401.66098313819,242.03654773181,472.944530174247,375.685136322429,341.222776870773,425.609053737693,114.361559679222,72.1916658728238,251.657621917247,213.025378562296,111.885815010876,177.45639031816,0.000878713286111535,-1.27065237999173,1.08496841831133e-05,0.41447230807384,3.05615280703301
"ENSMUST00000053106.5",103.847621497717,140.614597026219,102.142585847994,90.5939318494576,98.4532762572855,79.3578681160167,37.8462531265148,27.1637286964791,19.1628595460421,29.9721408877862,26.11167022964,18.1485501090326,3.71102159538831e-16,-1.97380901993162,4.55377322732531e-19,0.254579998322433,15.4305065183727
