Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0077920	866	347	402	2079	818	897	498	603	648	1216	1289	1248	916.77	583	1251	2.16	1.111	2.17483970910116e-05	0.00120411857064869	0.0466	0.0592
FBtr0301851	1542	380	320	2184	1160	1242	886	660	516	1277	1828	1727	1149.06	687	1611	2.359	1.238	2.29531787635646e-05	0.00126202771817661	0.057	0.0511
FBtr0111065	2	0	2	109	86	42	1	0	3	64	136	58	43.67	1	86	52.992	5.728	2.37950445641368e-05	0.00129487417165799	0.7827	0.9344
FBtr0301838	3234	576	865	5005	1750	1820	1858	1001	1394	2927	2757	2531	2078.11	1418	2738	1.97	0.979	2.41050497553389e-05	0.00130726703280661	0.0371	0.0405
FBtr0111054	0	0	0	41	29	26	0	0	0	24	46	36	17.64	0	35	252.223	7.979	2.53764709500741e-05	0.00136227068715093	1.0421	1.2382
FBtr0332604	0	21	0	438	267	230	0	36	0	256	421	320	172.21	12	332	47.774	5.578	2.78320823960547e-05	0.00148406640695742	0.7571	0.3423
FBtr0333043	0	0	0	51	40	13	0	0	0	30	63	18	18.49	0	37	278.122	8.12	2.7954757155166e-05	0.00148562237858056	1.0894	1.2237
FBtr0085899	1149	175	323	2056	790	819	660	304	520	1202	1245	1139	845.17	495	1195	2.471	1.305	2.8939868521018e-05	0.00152920982636837	0.0655	0.0631
FBtr0334405	247	57	138	1213	300	415	142	99	222	709	473	577	370.44	154	586	3.769	1.914	2.89674108078589e-05	0.00152920982636837	0.1357	0.147
FBtr0336659	47	15	22	213	195	272	27	26	35	125	307	378	149.77	29	270	8.223	3.04	3.07289663810135e-05	0.00160092877309608	0.3068	0.3943
FBtr0344560	47	15	22	213	195	272	27	26	35	125	307	378	149.77	29	270	8.223	3.04	3.07280447138557e-05	0.00160092877309608	0.3068	0.3943
FBtr0335183	0	0	0	38	26	26	0	0	0	22	41	36	16.56	0	33	236.04	7.883	3.48655682629632e-05	0.00180460547133057	1.0642	1.2569
FBtr0331757	24	0	0	403	36	57	14	0	0	236	57	79	64.25	5	124	56.757	5.827	3.58635063183653e-05	0.00185023089415203	0.7805	0.7627
