Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0309253	931.714	230.641	420.944	1254.23	432.677	401.527
FBtr0079810	1	0	0	2	1	0
FBtr0339985	842.936	333.918	127.991	1172.14	2.13632e-4	287.081
FBtr0339986	99.4777	0	74.0014	236.884	69.0115	74.5276
FBtr0302109	121.865	15.9843	14.9154	64.9357	23.8609	20.0131
FBtr0302294	204.771	59.6846	1.63169e-7	234.345	0.444454	0.659639
FBtr0301513	101.245	18.8805	6.73169	47.5729	18.1736	15.8897
FBtr0302560	597.84	813.753	1027.31	1380.19	947.164	742.628
FBtr0345528	1117.87	54.7794	82.0552	299.931	246.345	82.2007
FBtr0077312	526.098	194	247	428.378	168	146
FBtr0070993	2134	805	981	2168	572	838
FBtr0085034	0	0	0	0	0	0
FBtr0332742	0	4.00346	5.99981	13.9461	0	1.00109
FBtr0073363	10.0203	1.04421e-4	1.86597e-4	1.69676e-5	4.00427	1.83371e-5
FBtr0305220	0	0	0	0	0	0
FBtr0080807	0	0	0	0	0	0
FBtr0070460	85.1799	24.1309	38	127.525	35.0541	36
FBtr0078849	1332.16	260.757	236.42	817.725	304.923	227.951
FBtr0306106	2546.84	573.243	717.58	3941.28	615.077	758.049
FBtr0087853	21.543	0	21.7664	0	21.819	21.8936
FBtr0339705	1038.7	479	522.234	1009.15	423.181	470.106
FBtr0343372	1	0	0	0	0	0
FBtr0080252	5.00127	1	0	6.00909	0	2.00061
FBtr0078059	4486.17	1877.09	2309.27	3235.81	1979.1	1559.6
FBtr0329832	1776.43	290.703	43.2651	3824.8	6.41125e-4	224.924
FBtr0079505	15.8088	5	7	17.545	6.76512	1
FBtr0079503	0	0	0	0	0	0
FBtr0079504	0	0	0	0	0	0
FBtr0114496	0	0	0	0	0	0
FBtr0299926	67	25	29	72	15	27
FBtr0079999	8	3	1	9	0	1
FBtr0345142	3448.38	1002.04	846.149	7960.06	1957.65	2019.63
FBtr0335429	927.107	362.586	345.403	865.006	236.206	220.85
FBtr0078936	1182.72	228.068	136.507	1086.36	162.352	146.033
FBtr0335430	29.978	0	0	119.427	29.8548	0
FBtr0078937	383.278	159.896	209.751	858.21	453.8	505.382
FBtr0078935	1514.74	410.943	771.19	1670.4	533.138	522.984
FBtr0078938	139.585	2.16473e-6	0	66.535	0	27.1214
FBtr0339812	1	0	0	0	0	0
FBtr0299568	0.999957	0	0	4.99996	1.99992	2.99976
FBtr0086574	0	0	0	0	0	0
FBtr0100137	4.27891e-5	0	0	4.04971e-5	7.99399e-5	2.3551e-4
FBtr0303831	0	0	0	0	0	0
FBtr0076457	544	214	233	742	269	323
FBtr0073306	1	0	1	0	0	0
FBtr0089576	331.117	101.844	52.9775	416.753	18.9964	42.0606
FBtr0308352	308.883	137.156	237.022	364.247	233.004	224.939
FBtr0345536	231.516	53.4357	23.5663	118.652	41.4121	32.7356
FBtr0086181	2959.48	1106.56	1517.43	3124.35	1016.59	1261.26
FBtr0333915	213	31	33	67	17	23
FBtr0290198	93.4302	23.5823	34	96.8809	35.0598	38
FBtr0075282	0	0	0	0	0	0
FBtr0075283	1080	372	446	1026	303	356
FBtr0075641	15.0096	0	0	20.0242	2.00703	7.01262
FBtr0331831	0	5	3	0	0	0
FBtr0307388	0	0	0	0	0	0
FBtr0076699	1.47854	0	1.17882	0	0	0
FBtr0088662	2.10815e-8	5.24991e-8	9.52741e-8	0	0	0
FBtr0339287	0.0815374	0	8.21476e-6	21.6002	24	29.885
FBtr0308823	187.092	75.9955	85.9607	85.2175	0	0
FBtr0299953	11.4774	0	0	21.442	11.1392	0
FBtr0299952	117.557	57.079	51.4348	268.338	86.3747	98.5849
FBtr0081335	0	0	0	0	0	0
FBtr0081334	1570	729	827	1456	603	643
FBtr0333269	56.2842	0	0	0	18.8092	0
FBtr0333268	60.7532	0	0	0	39.8929	50
FBtr0333270	75.8381	57.5646	61.0182	117.93	0	0
FBtr0072642	70.2756	29.2271	29.9943	50.1348	0	0
FBtr0332424	1.5	0.5	0	0.5	1	0
FBtr0332425	1.5	0.5	0	0.5	1	0
FBtr0302927	8.59243	3	1	13.0045	7	0
FBtr0302926	3.41127	0	0	0	0	0
FBtr0332627	187	59	70	155	52	62
FBtr0339954	550.636	231	244	534.171	165	239.459
FBtr0087622	0	0	0	0	0	0
FBtr0076192	1	0	1	0	0	1
FBtr0071070	1226.5	447	510	984.361	394	432
FBtr0084935	54.7603	12.3796	13.6917	91.233	64.9999	21.6077
FBtr0339160	0.0434188	0	3.0991e-5	30.1176	0	0
FBtr0339161	1093.28	473.999	477.163	944.011	504.658	493.552
FBtr0339162	946.615	470.621	490.713	1632.43	444.868	619.84
FBtr0084937	169.442	1.18837e-4	85.6335	193.49	44.474	3.75125e-4
FBtr0084936	0.017057	0	8.87612e-6	40.5212	0	0
FBtr0346509	0	0	0	0	0	0
FBtr0305907	0	0	0	0	0	0
FBtr0333876	144.615	229.66	128.43	993.38	163.202	187.25
FBtr0075671	1188.86	255.752	386.57	127.14	254.97	253.093
FBtr0303342	22.9405	5.00202	0	34.8379	0	5.00011
FBtr0310575	0	0	3.04686	0	4.19844	0
FBtr0076726	0	0	0	0	0	0
FBtr0076727	3	1	1	2	1	1
FBtr0113425	0.112645	10.8471	21.8666	63.0273	93.8061	15.5112
FBtr0332078	85.4393	8.0047	0	45.7764	0	0
FBtr0075809	0	27.482	19.449	65.8346	0	0
FBtr0075806	1.7585e-5	24.6995	1.90838e-5	190.693	1.78241e-6	56.2439
FBtr0075807	78.5947	24.1293	34.8882	44.0463	52.4103	0
FBtr0075808	147.278	56.0124	88.8176	125.487	61.9463	78.3457
FBtr0332079	15.221	1.22972e-6	0	50.3204	0	50.1395
FBtr0308683	103.669	31.3619	47.0445	159.505	32.0419	32.938
FBtr0074816	1611.76	481.493	684.134	1858.12	348.843	538.168
FBtr0074817	3886.82	1598.64	1777.82	5197.82	1093.39	1335.23
FBtr0074815	119.397	19.5382	9.5631	119.246	11.5249	25.7482
FBtr0339382	0.00107063	68.1646	2.12957e-5	0	4.41963e-4	0.00401787
FBtr0299847	0.00206077	0	0	0.399289	0	0
FBtr0300527	742.922	351.414	394.428	855.255	263.215	300.089
FBtr0301766	207.972	8.43572	25.7589	410.785	111.402	72.8122
FBtr0299846	156.054	93.1834	149.03	203.239	128.763	92.7279
FBtr0339381	404.226	43.122	48.803	240.747	48.967	49.5858
FBtr0299845	0.0354067	0	0	3.53277	0	0
