Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBgn0259237	0	0	0	1	0	0
FBgn0013685	131	2	6	12	3	1
FBgn0031021	660.897	291.367	307	858.586	331	359.737
FBgn0033491	551.743	169.911	166.609	584.368	160.621	172
FBgn0051141	3	1	0	5	0	1
FBgn0284082	0	0	0	1	0	1
FBgn0036396	191.896	63	87	190.412	63	70
FBgn0036641	554	201	242	299	117	151
FBgn0027594	9424.93	4468.99	5039	14362	6151	5855
FBgn0261954	7938.34	3152.9	3243.99	8706.91	3087	2736
FBgn0029987	5	6	4	4	2	1
FBgn0031660	2844	1068	1280	2113	805	1065
FBgn0038619	242	101	134	249	83	137
FBgn0001341	672.635	262	254	676.653	206	218
FBgn0037541	4265.56	1710.48	1683.33	3959.53	1424.5	1440.6
FBgn0016701	1437	483	528	1568	428	523
FBgn0039110	1381.91	833.993	941	1435.14	581.751	720.309
FBgn0038839	1.00217	1	0	1.0008	0	0
FBgn0264307	690.535	213.824	262.807	778.511	269.066	266.091
FBgn0263355	2766.51	1200.17	1181.1	3638.2	1297.83	1273.58
FBgn0032482	6803.62	2293.99	2738	8307.65	2577.99	3092.98
FBgn0050082	11	3	0	8	5	2
FBgn0033698	2385.82	886	1014	1960.83	796	773
FBgn0032240	1041.05	408.382	440.172	1009.66	323.544	430.787
FBgn0029925	519	175	198	429	130	175
FBgn0039017	307.366	98.383	111.359	290.057	79	84
FBgn0259711	282.6	80	81	292.074	55	59
FBgn0051140	813.176	324.011	371	768.03	334	280.014
FBgn0004379	1410	557	600	1330	420	479
FBgn0036158	0	0	0	0	0	0
FBgn0031816	364.235	176	203	241.231	92	109
FBgn0034923	788.629	301.481	408.024	840.139	243	289
FBgn0039582	0	0	0	0	0	0
FBgn0051635	1349.55	493	536	1562.33	520.401	497.475
FBgn0263117	0	2.05988	3.0632	3.34845	1.04586	2.05747
FBgn0030259	2	0	1	1	1	0
FBgn0029858	363.931	176	206.903	284.2	155.563	152
FBgn0260745	7855	3752.01	4344.99	12767	4635	5282
FBgn0015791	2741.22	866	1168	3140.03	869	948
FBgn0051453	1683	661	827	1401	498	562
FBgn0025574	1051	353	354	789	226.001	230
FBgn0039637	4292.01	1818	2058	6133	2151	2567
FBgn0016975	329	125.5	140	313	97	92.5
FBgn0023095	184	66.9999	60	210.099	59.0001	58
FBgn0014022	582	186	182	658	141	155
FBgn0035134	11	5	10	15	2	4
FBgn0044826	6061.99	1881	2113	6092.47	1805	1774
FBgn0030937	0	0	0	0	0	0
FBgn0085213	3	1	1	3	0	1
FBgn0039875	3008.31	1205.57	1379	3219	1050	1170
FBgn0037736	12	7	8	9	3	1
FBgn0024732	1091	317	366	895	259	268
FBgn0053700	1	0	0	0	0	0
FBgn0260747	4618	1519	1664	5438	1614	1656
FBgn0038011	0	0	0	0	0	0
FBgn0066365	3.59156	0	1	5.18636	1.00156	4
FBgn0039863	4695	1646	1833	5126	1464	1447
FBgn0037721	15	9	8	11	4	4
FBgn0036459	1	0	0	1	0	0
FBgn0038291	530	173	203	771	209	215
FBgn0001114	49682	24193	27820	91786.9	29557	32275
FBgn0262894	0	0	0	0	0	0
FBgn0015772	1469.41	512	558	1598.18	485	540.838
FBgn0030873	2610.33	1104.96	1303	2935.16	928.001	1141
FBgn0086675	122.343	14.5523	7.00676	116.295	11.0841	11.0148
FBgn0038223	1101.8	351.092	389.75	1171.92	370	308.643
FBgn0027081	8762.47	3581	4392	8432.52	3252	3707.33
FBgn0043458	3281.34	1477.61	1578.74	3109.38	1284.77	1365.25
FBgn0262010	0	0	0	1	3	1
FBgn0259963	0	0	0	0	0	0
FBgn0010238	3908	1632	2009	3976	1238	1231
FBgn0034184	1951	716	882	1909.36	616	675
FBgn0000018	795	284	302	787	240	294
FBgn0032809	10	6	8	15	7	6
FBgn0036605	3.33756	0	1.81139	12	2	1
FBgn0052280	1037.62	267.954	347	581.558	211	234
FBgn0000055	10.0068	2	3	13	0	6
FBgn0033657	2	2	4	4	4	3
FBgn0030666	27.4147	13.1901	8.46518	39.0329	18.5321	19.3763
FBgn0011202	3269	1172	1287	3238	1113	1074
