"animal","mother","father","hatch.mass","week2.mass","week2.tarsus","week4.mass","week4.tarsus","adult.tarsus","egg.mass","maternal.line","paternal.line","sex","replicate","hatching.day","hatch.env","week2.env","week4.env","survive","exclude.surv"
"CY3747","A1709","A1655",7.35,51.6,28.7,133.6,37.9,38.7,11.02,"L","L","Male","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CR1799","A1788","A1706",8.97,50.7,29.7,117.9,37.7,38.9,12.81,"H","H","Female","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CR1780","A1664","A1656",9.82,55.4,29.6,143.6,38.2,39,13.49,"H","H","Female","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CR1766","A1772","A1684",9.31,53.6,30.3,126.5,39,40.2,13.11,"H","L","Female","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CY3722","A1787","A1694",7.31,55.2,29.5,140.2,38.1,38.7,10.77,"L","L","Male","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CR1781","A1765","A1790",8.29,43,26.8,123.2,37,38.9,11.59,"H","H","Female","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CY3743","A1795","A1670",8.41,42.8,28.1,109.9,37.8,39.5,12.11,"L","L","Male","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CR1773","A1674","A1776",9.49,53.7,29.9,131.9,38.4,39.5,13.66,"H","L","Female","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CY3744","A1695","A1676",8.47,50.3,30,145,40.8,41.9,11.77,"L","H","Female","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CY3746","A1760","A1754",8.22,46.7,27.9,113.9,36.2,37.2,11.68,"L","H","Male","2","17","2b 1","2b 1 4","2b 1 B",1,FALSE
"CR1755","A1742","A1783",9.19,56.7,30.3,134.4,38.3,NA,13.09,"H","H","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3719","A1787","A1694",7.2,53.3,29.9,140.3,39,40,10.64,"L","L","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3714","A1683","A1759",7.09,48,28.3,122.8,37.6,NA,10.58,"L","L","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CR1752","A1742","A1783",9.55,51.6,30.1,144.3,39,39.8,13.23,"H","H","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3718","A1785","A1667",8.39,57.8,31.4,144.4,39.9,NA,12.21,"L","H","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3712","A1683","A1759",7.13,50.7,28.5,120.8,37.7,38.7,10.69,"L","L","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CR1754","A1761","A1697",9.53,61.1,31.6,146.3,39.5,37.8,13.34,"H","L","Female","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CR1745","A1686","A1668",8.01,58.9,30.4,158.7,38.4,39,11.68,"L","H","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3749","A1661","A1713",8.06,53.2,30.2,133.3,38.8,39.2,11.52,"L","H","Female","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3713","A1683","A1759",7.12,52.1,28.6,122.5,36.9,37.8,10.49,"L","L","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3753","A1661","A1713",7.78,43.4,28.4,105.8,36,NA,11.36,"L","H","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3733","A1699","A1705",7.5,55.1,28.9,135.3,36.8,37.4,11.09,"L","H","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CR1759","A1719","A1745",8.84,53.3,29.7,128.4,37.8,NA,12.54,"H","L","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CR1747","A1712","A1711",10,49.8,30.2,143.3,39.7,40.7,13.69,"H","H","Female","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3717","A1787","A1694",7.85,56.1,29.9,145.8,37.3,38,11.36,"L","L","Female","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CR1748","A1712","A1711",10.25,52.5,31.3,144.2,40.5,41.2,14.03,"H","H","Male","2","17","2b 1","2b 1 1","2b 1 C",1,FALSE
"CY3751","A1661","A1713",7.81,46.1,29.5,124.6,37.9,NA,11.61,"L","H","Male","2","17","2b 1","2b 1 1","2b 1 H",1,FALSE
"CR1751","A1742","A1783",9.65,58.7,31.3,155.2,40,40.7,13.49,"H","H","Female","2","17","2b 1","2b 1 1","2b 1 H",1,FALSE
"CR1802","A1741","A1779",9.88,56.9,30.3,149.5,40.8,41.8,13.61,"H","H","Female","2","17","2b 1","2b 1 1","2b 1 H",1,FALSE
"CR1756","A1742","A1783",9.64,59.9,30.2,159.3,38.8,39.2,13.21,"H","H","Male","2","17","2b 1","2b 1 1","2b 1 H",1,FALSE
"CR1760","A1719","A1745",8.75,46.3,29,111.6,37.5,NA,12.12,"H","L","Male","2","17","2b 1","2b 1 1","2b 1 H",1,FALSE
"CY3754","A1686","A1668",7.48,48.1,28.1,125.1,37.7,38.6,11.65,"L","H","Female","2","18","2b 1","2b 1 3","2b 1 H",1,FALSE
"CR1784","A1691","A1707",8.23,59.2,30.5,145.8,38.3,38.9,12.22,"H","H","Male","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CR1798","A1738","A1672",8.7,56.8,30.2,132.6,38,NA,12.21,"H","L","Male","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CR1796","A1780","A1775",9.39,58.9,30.9,142.9,38.7,NA,12.99,"H","L","Male","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CY3740","A1795","A1670",8.66,39.6,27.2,101,36.1,38.3,12.27,"L","L","Female","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CR1782","A1749","A1678",9.93,55.6,30.6,138.9,38,39,13.82,"H","L","Male","2","17","2b 1","2b 1 3","2b 1 J",1,FALSE
"CR1791","A1749","A1678",8.77,59,31,144.9,39.2,NA,12.43,"H","L","Male","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CR1777","A1791","A1733",8.61,48.8,28.5,128.8,37.8,39.9,12.38,"H","L","Female","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CY3737","A1695","A1676",8.48,49.9,29.6,145.6,39.9,41.2,11.81,"L","H","Female","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CR1788","A1749","A1678",10.49,62,30.9,143.5,38.1,40.3,14.17,"H","L","Female","2","17","2b 1","2b 1 3","2b 1 H",1,FALSE
"CY3741","A1695","A1676",8.87,50.1,28.8,126.9,37.3,38.4,12.3,"L","H","Female","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CR1792","A1738","A1672",8.4,55.7,29.9,135.5,37.8,NA,11.64,"H","L","Female","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CY3742","A1723","A1743",7.26,41.4,25.5,119.8,36,38.1,11.09,"L","L","Male","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CR1783","A1691","A1707",8.73,56.6,29.8,153.5,39.1,39.5,12.22,"H","H","Female","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CR1789","A1749","A1678",9.86,63.3,31.9,151.9,39.7,40,13.65,"H","L","Female","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CR1778","A1674","A1776",8.26,41.8,27.3,106.9,36.6,NA,12.05,"H","L","Male","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CR1772","A1664","A1656",9.09,51.3,29,148.7,38.4,39,13.13,"H","H","Female","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CY3745","A1709","A1655",7.36,51.4,27.7,136.3,36.9,37.5,11.07,"L","L","Male","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CR1776","A1664","A1656",8.96,56.9,29.6,164.9,38.8,39.6,12.77,"H","H","Female","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CR1775","A1674","A1776",9.43,59.3,30.9,128.7,37.7,NA,13.37,"H","L","Male","2","17","2b 1","2b 1 3","2b 1 I",1,FALSE
"CY3727","A1717","A1658",7.27,55,29.2,142.8,38,38.8,10.8,"L","L","Female","2","17","2b 1","2b 1 2","2b 1 I",1,FALSE
"CY3748","A1709","A1655",7.29,48.9,28.2,136,37.6,38.7,10.96,"L","L","Female","2","17","2b 1","2b 1 2","2b 1 I",1,FALSE
"CR1769","A1772","A1684",10.46,59.8,30.8,146.7,39.5,NA,14.4,"H","L","Male","2","17","2b 1","2b 1 2","2b 1 I",1,FALSE
"CR1763","A1762","A1786",10.62,57.1,31.2,142.5,40.5,NA,15.06,"H","L","Male","2","17","2b 1","2b 1 2","2b 1 I",1,FALSE
"CR1804","A1738","A1672",8.53,52.9,28.9,126.9,36.7,38,12.24,"H","L","Female","2","18","2b 1","2b 1 2","2b 1 I",1,FALSE
"CY3750","A1699","A1705",7.51,54.9,29,132.9,37.1,NA,11.05,"L","H","Male","2","17","2b 1","2b 1 2","2b 1 I",1,FALSE
"CY3729","A1717","A1658",7.15,54.9,28.4,135.4,36,36.9,10.56,"L","L","Male","2","17","2b 1","2b 1 2","2b 1 I",1,FALSE
"CR1765","A1704","A1773",9,57,30.5,149.8,39.9,40.5,12.87,"H","H","Male","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3725","A1717","A1658",7.48,56.6,29.9,143.6,37.3,37.9,10.88,"L","L","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3735","A1699","A1705",7.98,47.8,28.4,127.9,37,37.8,11.58,"L","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3732","A1736","A1751",7.55,48.3,28.3,126.5,37.5,38.7,10.94,"L","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1761","A1762","A1786",10.35,59.9,31.2,154.7,40.2,41.1,14.91,"H","L","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3728","A1787","A1694",7.24,45.4,28.6,125.4,37.6,38.6,10.53,"L","L","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3720","A1787","A1694",7.65,51,29.1,145.7,37.7,38,10.84,"L","L","Male","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1800","A1741","A1779",9.13,46.1,28,125.1,36.4,37.9,12.86,"H","H","Male","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1764","A1703","A1716",9.71,51.9,29.9,139.9,38.9,40.2,14.35,"H","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1790","A1700","A1721",8.56,45.2,27.4,121.2,37.2,39,12.69,"H","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3723","A1686","A1668",8.14,56.7,31,146.8,39.6,40.3,11.62,"L","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1762","A1772","A1684",9.75,51.3,29.2,122.6,38.7,NA,13.28,"H","L","Male","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3726","A1723","A1743",7.79,48.1,27.5,123.9,35.2,36.7,11.49,"L","L","Male","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1767","A1772","A1684",9.56,53.7,30.6,140.5,40.5,42.2,13.51,"H","L","Male","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CY3731","A1686","A1668",8.54,39.9,27,111.1,36.5,38.6,12.09,"L","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1768","A1704","A1773",8.89,48.7,30.2,131.5,39.7,41,12.9,"H","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1770","A1704","A1773",8.6,50.6,29.6,129.2,38.2,39,12.52,"H","H","Female","2","17","2b 1","2b 1 2","2b 1 J",1,FALSE
"CR1812","A1738","A1672",8.44,57.5,29.6,127.7,37.3,37.9,11.77,"H","L","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3789","A1661","A1713",7.84,53.4,28.9,124.5,37.5,39.2,11.21,"L","H","Female","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3805","A1760","A1754",7.97,42.4,26.5,116.8,37.5,38.6,11.74,"L","H","Female","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1821","A1742","A1783",9.93,66.2,31.5,149.9,39.3,39.9,13.93,"H","H","Female","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3790","A1699","A1705",6.81,49.6,28,133.2,37.8,39.5,11.1,"L","H","Female","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3775","A1785","A1667",8.04,60.7,30.6,143.4,39.3,NA,11.95,"L","H","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1864","A1700","A1721",8.44,50.5,28.5,123.4,37.5,39,12.79,"H","H","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1866","A1719","A1745",8.96,47.9,28,124.1,37.4,38.7,12.99,"H","L","Male","2","18","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3769","A1686","A1668",7.77,60.2,30.1,142.3,37.6,38.4,11.3,"L","H","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1815","A1712","A1711",10.57,55.8,30.9,149.4,39.9,40.7,14.64,"H","H","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1827","A1761","A1697",9.94,64.4,30.2,163.6,37.6,38,13.34,"H","L","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1839","A1691","A1707",8.6,60.7,31.2,140.78,38.9,39.4,12.16,"H","H","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3788","A1795","A1670",8.51,46.3,28.5,107.4,36.6,38.8,12.04,"L","L","Female","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3796","A1695","A1676",8.5,51.5,29.7,128.5,39.1,40.5,11.94,"L","H","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3766","A1717","A1658",8.35,64.4,31,151.4,37.9,38.4,11.62,"L","L","Female","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1822","A1765","A1790",8.91,63.6,31.5,165.9,40.2,41,12.06,"H","H","Male","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CR1816","A1762","A1786",10.41,60.2,31.8,142.3,41.7,42.4,15.18,"H","L","Female","2","17","2b 2","2b 2 8","2b 2 D",1,FALSE
"CY3770","A1736","A1751",7.85,55,28.9,131.8,36.7,37.6,11.18,"L","H","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1840","A1741","A1779",9.48,55.2,30.3,132.5,39.5,40.6,13.45,"H","H","Female","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1863","A1780","A1775",8.13,56.7,30.8,133.4,38.8,39.7,11.33,"H","L","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CY3799","A1787","A1694",6.49,48.5,28.4,127.1,37.9,38.7,9.99,"L","L","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CY3800","A1709","A1655",7.27,53.9,29.3,128.5,38.3,39.5,10.9,"L","L","Female","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CY3784","A1734","A1735",7.24,51.4,29.1,120.5,37,37.9,10.14,"L","H","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1828","A1749","A1678",9.62,60.3,31.5,140.2,39.1,40,13.37,"H","L","Female","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1851","A1748","A1693",9.81,41.6,28.3,112.3,37.6,38.9,13.68,"H","L","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1843","A1704","A1773",9.48,49.8,28.4,135.5,38.3,39.2,13.06,"H","H","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1879","A1772","A1684",10.5,44.7,28.8,112.7,38.8,43.1,14.85,"H","L","Female","2","18","2b 2","2b 2 8","2b 2 E",1,FALSE
"CY3792","A1727","A1729",7.6,61.1,31.2,142.1,39.4,39.8,11.31,"L","L","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1830","A1664","A1656",9.87,57.6,30.5,142.6,38,38.7,13.28,"H","H","Female","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CY3807","A1723","A1743",8.39,40.6,26.5,104.9,34.8,37,12.29,"L","L","Female","2","18","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1829","A1674","A1776",7.97,48.1,29.2,103.7,36.2,37.5,11.77,"H","L","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CR1835","A1791","A1733",9.35,58.5,29.3,137.1,38.1,38.9,13.53,"H","L","Female","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CY3778","A1683","A1759",6.97,45.1,27.3,110.9,37.3,38.8,10.32,"L","L","Male","2","17","2b 2","2b 2 8","2b 2 E",1,FALSE
"CY3767","A1717","A1658",7.51,54.6,29.9,130.9,37.8,38.9,11.57,"L","L","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CR1869","A1761","A1697",9.2,49.8,28.8,129.5,38.2,NA,13.39,"H","L","Male","2","18","2b 2","2b 2 5","2b 2 F",1,FALSE
"CR1865","A1700","A1721",9.16,59.1,30.3,144.4,38,38.4,13.23,"H","H","Male","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3764","A1736","A1751",8.02,42.9,27.8,107.4,36.6,39,10.97,"L","H","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3768","A1717","A1658",7.84,59.4,29.2,144.9,37.1,37.9,11.2,"L","L","Male","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3762","A1736","A1751",8.04,61,30.9,145.8,38.1,38.8,11.3,"L","H","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3776","A1785","A1667",8.24,57.8,31.1,148.5,41,42,11.9,"L","H","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CR1817","A1742","A1783",9.95,54.1,30,131.8,39,40.3,13.91,"H","H","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CR1860","A1700","A1721",8.77,53.8,29.5,140.1,38.2,39,13,"H","H","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CR1820","A1719","A1745",9.48,49.9,28.7,116.7,37.8,39.1,13.15,"H","L","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3777","A1785","A1667",8.54,65.8,31.5,140.9,37.6,NA,12.36,"L","H","Male","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3806","A1709","A1655",7.2,47.6,27.8,139.2,37.3,38.3,10.75,"L","L","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3765","A1723","A1743",8.89,58.2,29.7,136.3,38.5,39.3,12.36,"L","L","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CY3763","A1736","A1751",8.12,47.8,28.9,110.2,37.7,39.3,11.42,"L","H","Female","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CR1819","A1761","A1697",9.41,60.2,31.2,136.6,38.6,39.2,13.53,"H","L","Male","2","17","2b 2","2b 2 5","2b 2 F",1,FALSE
"CR1813","A1762","A1786",10.4,64.1,31.9,157.3,41.6,42.5,14.79,"H","L","Female","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CY3773","A1736","A1751",7.94,42.7,27.4,109.1,36.1,NA,11.4,"L","H","Male","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CY3771","A1717","A1658",8.4,42.9,27.1,113.6,35.7,37,11.75,"L","L","Female","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CR1811","A1742","A1783",10.49,49.7,29,121.3,38.7,40.5,14.12,"H","H","Female","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CY3760","A1683","A1759",6.94,45.5,27.8,122.6,37.5,38.5,10.42,"L","L","Female","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CR1824","A1742","A1783",9.87,56.2,30.7,146.6,39.4,40.6,13.71,"H","H","Female","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CR1818","A1762","A1786",10.12,54.6,29.8,134.8,39.4,40,14.78,"H","L","Male","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CR1867","A1719","A1745",8.68,45.9,27.7,119.7,38.2,39.3,13.13,"H","L","Female","2","18","2b 2","2b 2 5","2b 2 G",1,FALSE
"CY3804","A1709","A1655",7.25,46.4,27.8,117.6,36.8,38.5,10.97,"L","L","Male","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CR1868","A1742","A1783",9.3,54.3,30.1,143,39.1,40.5,13.98,"H","H","Female","2","18","2b 2","2b 2 5","2b 2 G",1,FALSE
"CY3772","A1686","A1668",7.82,46.5,28.5,119.6,37.9,39.7,11.28,"L","H","Female","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CR1823","A1719","A1745",9.06,44.9,27.8,113.3,36.4,NA,12.76,"H","L","Male","2","17","2b 2","2b 2 5","2b 2 G",1,FALSE
"CR1850","A1772","A1684",9.8,44.8,27.8,113.4,37.6,40.2,13.86,"H","L","Female","2","17","2b 2","2b 2 7","2b 2 G",1,FALSE
"CY3809","A1795","A1670",8.11,48.7,28.5,114.4,37.9,39.7,12.14,"L","L","Male","2","18","2b 2","2b 2 7","2b 2 G",1,FALSE
"CR1848","A1748","A1693",9.52,54.6,30.3,135,41.1,42.7,13.61,"H","L","Female","2","17","2b 2","2b 2 7","2b 2 G",1,FALSE
"CR1857","A1703","A1716",9.29,67.5,30.9,165.5,39.3,39.8,13.4,"H","H","Male","2","17","2b 2","2b 2 7","2b 2 G",1,FALSE
"CY3793","A1699","A1705",7.38,59,30.2,150.7,39.5,39.7,10.93,"L","H","Female","2","17","2b 2","2b 2 7","2b 2 G",1,FALSE
"CY3797","A1760","A1754",7.87,48.1,28.3,124.3,38,39.5,11.2,"L","H","Female","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1861","A1700","A1721",8.79,52.3,28.6,119.4,37.6,39,12.7,"H","H","Female","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CY3811","A1699","A1705",7.06,46.7,26.5,121.3,36.1,37.5,10.96,"L","H","Female","2","18","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1846","A1741","A1779",9.63,55.8,29.3,138.4,39.2,40.1,13.46,"H","H","Female","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1847","A1780","A1775",8.28,53.9,29.1,126.9,37.4,38.2,11.88,"H","L","Male","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1877","A1772","A1684",10.61,49.3,28.8,121.8,38.2,NA,14.67,"H","L","Male","2","18","2b 2","2b 2 7","2b 2 K",1,FALSE
"CY3810","A1661","A1713",7.17,42.6,26.5,107.2,36.2,NA,11.19,"L","H","Male","2","18","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1844","A1741","A1779",8.47,46.9,28.3,116.2,37.7,39.4,12.86,"H","H","Male","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CY3801","A1760","A1754",8.04,39.9,26.1,113.1,36.2,37.8,11.3,"L","H","Female","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1856","A1691","A1707",8.4,59.2,30.4,141,38.5,39.1,11.99,"H","H","Male","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1876","A1691","A1707",7.96,42.1,26.6,122.9,38.1,38.9,12.09,"H","H","Female","2","18","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1854","A1703","A1716",9.79,56.1,29.8,131.8,39.3,40.9,13.96,"H","H","Male","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1852","A1749","A1678",9.64,48.2,29,118.4,38.2,40.2,13.63,"H","L","Female","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CY3791","A1727","A1729",7.22,48.9,28.9,120.9,39.5,41.4,11.03,"L","L","Female","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CY3794","A1661","A1713",7.71,44.5,28.2,118.4,37.6,38.9,11.38,"L","H","Male","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CY3798","A1760","A1754",7.82,44.3,27.5,127.6,37.8,39.3,11.1,"L","H","Female","2","17","2b 2","2b 2 7","2b 2 K",1,FALSE
"CR1858","A1780","A1775",8.54,55.8,29.8,140.4,38.7,NA,12.04,"H","L","Male","2","17","2b 2","2b 2 7","2b 2 L",1,FALSE
"CR1849","A1741","A1779",8.67,49.4,27.8,129.4,36.6,37.6,12.88,"H","H","Female","2","17","2b 2","2b 2 7","2b 2 L",1,FALSE
"CR1845","A1748","A1693",9.78,45.3,28.5,122,39.1,NA,13.7,"H","L","Male","2","17","2b 2","2b 2 7","2b 2 L",1,FALSE
"CR1859","A1780","A1775",7.6,51.6,29.2,126.7,37.7,NA,11.26,"H","L","Male","2","17","2b 2","2b 2 7","2b 2 L",1,FALSE
"CY3795","A1695","A1676",8.35,50.8,29,120.4,38.6,40.2,11.68,"L","H","Female","2","17","2b 2","2b 2 7","2b 2 L",1,FALSE
"CR1853","A1748","A1693",9.84,59.3,32.6,144.2,42.5,43.4,14.09,"H","L","Male","2","17","2b 2","2b 2 7","2b 2 L",1,FALSE
"CR1842","A1691","A1707",8.74,54.2,29.2,122.7,37.2,NA,12.2,"H","H","Male","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CY3787","A1734","A1735",7.01,51.8,28.6,120.5,36.5,NA,9.97,"L","H","Male","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CR1833","A1674","A1776",7.98,55.1,29.4,133.3,37.5,38.3,11.59,"H","L","Female","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CR1836","A1674","A1776",8.4,56.3,29.8,120.2,36.9,NA,12.31,"H","L","Male","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CR1875","A1765","A1790",8.79,56.8,31.1,152.9,41.2,42.4,12.28,"H","H","Female","2","18","2b 2","2b 2 6","2b 2 L",1,FALSE
"CY3803","A1787","A1694",7.12,52.4,28.3,135.9,37.9,39,10.53,"L","L","Female","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CY3786","A1695","A1676",8.33,50.3,29.1,117.6,38.2,39.2,11.66,"L","H","Female","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CY3785","A1734","A1735",7.25,45.4,27.2,105.2,35.6,NA,10.45,"L","H","Male","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CY3782","A1695","A1676",8.26,57.9,31.1,138.6,40.8,41.6,11.71,"L","H","Male","2","17","2b 2","2b 2 6","2b 2 L",1,FALSE
"CR1832","A1664","A1656",9.44,63,30.2,162.7,38.8,39.8,13.47,"H","H","Female","2","17","2b 2","2b 2 6","2b 2 M",1,FALSE
"CR1873","A1791","A1733",9.31,60,29.9,151.5,39.5,40.6,13.36,"H","L","Male","2","18","2b 2","2b 2 6","2b 2 M",1,FALSE
"CR1874","A1674","A1776",7.37,50.9,28.7,108.1,36.7,NA,11.65,"H","L","Male","2","18","2b 2","2b 2 6","2b 2 M",1,FALSE
"CR1834","A1691","A1707",8.56,65.5,30.9,154.8,39.5,39.6,12.2,"H","H","Female","2","17","2b 2","2b 2 6","2b 2 M",1,FALSE
"CR1841","A1741","A1779",8.53,48.2,27.9,122.7,37.8,40,13.25,"H","H","Female","2","17","2b 2","2b 2 6","2b 2 M",1,FALSE
