Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0303756	670	202	173	273	78	76	393	341	273	160	121	105	232.23	336	129	0.386	-1.374	0.000611128618880803	0.0261805745892309	0.1065	0.137
FBtr0075039	101	46	25	32	9	14	59	78	39	19	14	19	38.08	59	17	0.3	-1.735	0.000616336037185171	0.026340643002088	0.1405	0.1752
FBtr0089951	1437	157	113	205	99	52	842	265	178	120	154	72	271.91	428	115	0.268	-1.897	0.000629372367554404	0.0268337404423731	0.2028	0.1296
FBtr0088337	68	34	63	12	16	13	40	57	99	7	25	18	41.09	65	17	0.246	-2.022	0.000633948074169479	0.0269646274682966	0.1953	0.176
FBtr0309241	2911	186	75	183	81	126	1706	314	118	108	126	175	424.33	713	136	0.19	-2.394	0.000669461252870086	0.02814094519987	0.3186	0.1106
FBtr0082790	2497	732	1014	1106	410	574	1463	1236	1600	650	636	796	1063.44	1433	694	0.484	-1.046	0.00068453577223853	0.0287072179706683	0.0658	0.0881
FBtr0100199	242	99	67	47	38	34	142	167	106	28	59	47	91.39	138	45	0.318	-1.653	0.000704654429687862	0.0294818852159359	0.1473	0.1719
FBtr0306917	38996	16464	20467	16882	8751	10132	22851	27792	32292	9923	13569	14053	20079.97	27645	12515	0.453	-1.143	0.000714173341644339	0.0296721624798728	0.0801	0.0988
FBtr0074432	65	78	74	17	17	24	38	132	117	10	26	33	59.36	96	23	0.24	-2.06	0.000730647574512085	0.0301174547382588	0.2204	0.1781
FBtr0083252	601	130	108	173	63	40	352	219	170	102	98	55	166.14	247	85	0.344	-1.541	0.000732800757646942	0.0301174547382588	0.136	0.1516
FBtr0343633	499	484	197	210	107	136	292	817	311	123	166	189	316.37	473	159	0.337	-1.571	0.000735467670836895	0.0301174547382588	0.1444	0.1233
FBtr0339194	59	18	19	13	5	10	35	30	30	8	8	14	20.7	32	10	0.301	-1.732	0.000746508930167694	0.0303812168466202	0.1171	0.1618
FBtr0079632	2019	725	867	1117	359	459	1183	1224	1368	657	557	637	937.45	1258	617	0.49	-1.028	0.000752536094191383	0.0305570608586964	0.0643	0.0897
FBtr0299525	2669	624	679	1106	337	407	1564	1053	1071	650	523	564	904.29	1229	579	0.471	-1.086	0.000761401430784472	0.0307774614470825	0.072	0.0902
FBtr0086670	812	271	263	377	100	136	476	457	415	222	155	189	318.92	449	189	0.421	-1.25	0.000763548403565401	0.0307947325735262	0.0925	0.1228
FBtr0300039	1500	740	694	771	246	450	879	1249	1095	453	381	624	780.31	1074	486	0.453	-1.143	0.000786847564169608	0.0315921061246304	0.0797	0.0928
FBtr0331945	53	21	12	16	6	4	31	35	19	9	9	6	18.28	28	8	0.291	-1.779	0.000803185849292911	0.0321498819223111	0.1234	0.1586
FBtr0290320	191	29	63	33	22	20	112	49	99	19	34	28	56.92	87	27	0.305	-1.712	0.000817664301481123	0.0326100548922549	0.1544	0.1781
FBtr0307306	1832	807	722	873	393	442	1073	1362	1139	513	609	613	885.08	1191	578	0.485	-1.043	0.000826746553406684	0.0328990011818967	0.0672	0.0905
FBtr0087960	2757	825	820	885	493	565	1616	1393	1294	520	764	784	1061.7	1434	689	0.48	-1.059	0.000863446687439274	0.0342073890087944	0.07	0.0881
FBtr0070466	876	47	90	83	51	37	513	79	142	49	79	51	152.31	245	60	0.242	-2.049	0.000897902188257691	0.0354938951106633	0.2448	0.1548
