Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0342808	118	93	80	694	241	196	69	157	126	408	374	272	234.3	117	351	3.019	1.594	0.000249250090139991	0.0129747714073745	0.1236	0.1367
FBtr0306254	1557	262	376	2712	961	1089	912	442	593	1594	1490	1510	1090.41	649	1531	2.352	1.234	0.000254074828157128	0.0131875882545209	0.0785	0.0878
FBtr0345339	60	15	12	184	61	53	35	25	19	108	95	74	59.28	26	92	3.398	1.765	0.00025748183879282	0.0133258014082747	0.1364	0.178
FBtr0340190	559	225	444	1641	762	1045	328	380	701	965	1182	1449	833.89	470	1199	2.557	1.355	0.0002606872126285	0.0134528124395924	0.094	0.0915
FBtr0077008	1615	457	668	3446	1355	1337	946	771	1054	2026	2101	1854	1458.77	924	1994	2.157	1.109	0.000262783795714322	0.0134832934952905	0.0641	0.0857
FBtr0077920	866	342	401	2084	814	893	507	577	633	1225	1262	1239	907.19	572	1242	2.171	1.118	0.000284514966123081	0.0145151267759716	0.0653	0.0901
FBtr0075558	1307	359	366	4941	776	801	766	606	577	2904	1203	1111	1194.63	650	1739	2.677	1.421	0.00029271269258544	0.0148067971359533	0.1056	0.0869
FBtr0073839	174	41	76	587	155	181	102	69	120	345	240	251	187.91	97	279	2.871	1.522	0.000300350879059904	0.0150758767716605	0.115	0.1464
FBtr0113020	57	20	18	186	67	64	33	34	28	109	104	89	66.26	32	101	3.147	1.654	0.000299702518271873	0.0150758767716605	0.1227	0.1772
FBtr0336452	8	3	3	28	14	17	5	5	5	16	22	24	12.7	5	21	4.133	2.047	0.000300557771122065	0.0150758767716605	0.1065	0.1487
FBtr0330170	17	9	10	42	48	56	10	15	16	25	74	78	36.29	14	59	4.345	2.119	0.000315592635399025	0.0156981036724732	0.1851	0.1742
FBtr0083467	175	65	67	563	154	205	103	110	106	331	239	284	195.34	106	285	2.691	1.428	0.0003280383167322	0.0161921537775689	0.1026	0.1447
FBtr0100507	18	8	8	33	61	45	11	14	13	19	95	62	35.51	13	59	4.761	2.251	0.000332574874392023	0.0163610392190603	0.2126	0.1737
FBtr0085217	4	3	6	44	12	15	2	5	9	26	19	21	13.69	5	22	4.393	2.135	0.000340931147556645	0.0166475528666142	0.129	0.1512
FBtr0299564	168	72	72	441	194	235	98	122	114	259	301	326	203.26	111	295	2.66	1.412	0.000341187909870296	0.0166475528666142	0.1008	0.1431
FBtr0301838	2821	773	908	4828	2028	2379	1653	1305	1433	2838	3145	3300	2278.74	1464	3094	2.113	1.079	0.000342601629311749	0.0166711070002323	0.0634	0.0849
FBtr0308644	23	10	18	105	60	40	13	17	28	62	93	55	44.83	19	70	3.641	1.865	0.000359551166547821	0.017441602859205	0.1506	0.1772
FBtr0071246	149	35	38	544	103	130	87	59	60	320	160	180	144.35	69	220	3.179	1.669	0.000363612917823549	0.0175504488395318	0.1408	0.1571
FBtr0073321	20	7	8	42	49	35	12	12	13	25	76	49	30.89	12	50	4.034	2.012	0.000400866468833128	0.0192448146310853	0.1674	0.1711
FBtr0088266	534	102	101	1309	322	353	313	172	159	769	499	490	400.46	215	586	2.714	1.44	0.000407831046052454	0.0195268196301104	0.112	0.113
FBtr0305679	536	170	220	1168	487	521	314	287	347	687	755	723	518.74	316	722	2.281	1.19	0.000410870149092258	0.0196198713594535	0.077	0.1036
FBtr0079531	23	4	15	50	43	73	13	7	24	29	67	101	40.2	15	66	4.431	2.148	0.000414633420868991	0.019739955488623	0.2064	0.1758
FBtr0347201	611	306	276	1857	573	687	358	517	435	1092	888	953	707.15	437	978	2.244	1.166	0.000419110320487961	0.0198545198650209	0.0747	0.0948
FBtr0110876	130	22	18	471	91	86	76	37	28	277	141	119	113.16	47	179	3.722	1.896	0.000421673817838572	0.0199232534460034	0.1839	0.1655
FBtr0075199	996	307	293	3200	648	640	584	518	462	1881	1005	888	889.58	521	1258	2.413	1.271	0.000423726608697326	0.0199675588998501	0.0894	0.0904
FBtr0076935	78	26	23	202	84	95	46	44	36	119	130	132	84.44	42	127	3.001	1.586	0.000433055445321278	0.0201945933837712	0.1234	0.1735
FBtr0114602	1050	173	126	1576	686	742	615	292	199	926	1064	1029	687.54	369	1006	2.714	1.44	0.000441778970782534	0.0205478857916957	0.1146	0.0955
FBtr0304005	290	48	51	840	196	171	170	81	80	494	304	237	227.71	110	345	3.093	1.629	0.000457261616198279	0.0210493155816519	0.1427	0.1377
FBtr0081686	539	159	185	1000	472	500	316	268	292	588	732	693	481.54	292	671	2.293	1.197	0.000465487856229073	0.0213730539525487	0.0793	0.1061
FBtr0336697	43	19	32	199	74	77	25	32	50	117	115	107	74.38	36	113	3.188	1.673	0.000486580409261038	0.0220587225028795	0.1375	0.1758
FBtr0085899	1158	172	320	2080	787	782	679	290	505	1223	1220	1085	833.55	491	1176	2.386	1.254	0.000491495664891965	0.0222252850283344	0.0891	0.0915
FBtr0310621	31	23	13	122	53	73	18	39	21	72	82	101	55.44	26	85	3.354	1.746	0.000497387091783374	0.0223786699813188	0.1439	0.1782
