Pixel,Ladder,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a,9b,9c
327,3.557768163,20,13,18,9,11,13,17,16,19,12,17,19,23,21,14,9,12,21,21,23,27,29,31,55,19,21,35
328,3.539685688,18,15,13,10,14,10,17,18,18,14,20,20,24,21,15,10,13,22,19,18,30,27,31,55,19,18,34
329,3.521801586,17,16,12,12,14,10,12,16,17,15,18,19,21,19,14,10,7,21,14,18,29,27,34,58,20,18,32
330,3.504112284,17,12,14,13,16,11,13,18,16,14,18,17,22,20,14,14,5,20,13,18,25,28,31,55,17,18,30
331,3.486614263,16,13,13,10,12,14,15,20,17,12,15,17,22,20,16,14,9,15,18,18,24,27,29,55,17,18,33
332,3.469304065,16,15,10,7,14,14,13,14,20,12,19,15,22,19,16,11,9,18,19,18,29,25,32,52,17,22,32
333,3.452178285,14,9,13,10,16,16,16,17,17,12,20,15,22,17,18,9,10,18,20,17,23,24,29,52,16,18,27
334,3.435233573,15,10,15,12,13,16,14,19,19,9,14,17,22,15,21,11,12,17,21,14,29,23,28,51,17,16,26
335,3.418466634,16,16,17,11,15,15,12,17,20,10,13,15,25,15,14,12,10,16,15,20,24,24,27,46,15,16,24
336,3.401874223,12,15,15,8,16,11,13,15,22,12,16,15,22,15,14,11,12,14,13,15,28,22,27,52,16,16,25
337,3.385453147,16,9,12,13,15,3,14,12,17,12,13,15,20,12,13,7,11,16,12,14,25,23,26,46,19,16,30
338,3.369200265,16,12,11,10,13,9,13,14,16,11,17,15,22,16,13,10,8,19,16,19,22,24,25,42,15,16,23
339,3.353112484,13,14,11,10,14,15,15,16,13,8,16,15,19,16,14,12,9,21,16,13,20,23,28,47,11,20,24
340,3.337186758,13,13,13,10,13,12,14,18,10,12,15,14,19,15,12,13,8,15,13,14,27,20,27,45,12,21,23
341,3.32142009,13,10,13,8,13,11,15,17,13,15,16,14,22,17,10,13,7,14,14,16,26,16,25,49,14,21,24
342,3.30580953,16,15,13,9,16,14,16,14,16,7,16,15,21,13,13,11,5,17,16,16,20,21,21,51,15,18,25
343,3.290352172,16,15,10,8,10,14,12,10,17,7,16,16,22,10,12,11,8,17,17,15,15,24,21,44,13,14,20
344,3.275045154,14,9,11,11,13,12,11,14,18,8,13,15,20,11,10,11,10,15,15,18,18,20,23,46,13,15,25
345,3.25988566,13,11,13,9,11,10,10,15,14,8,16,14,19,15,12,9,9,12,12,12,26,16,25,46,12,13,22
346,3.244870915,13,14,11,6,13,9,11,13,11,10,15,14,20,15,14,11,11,13,11,11,27,16,23,41,11,13,20
347,3.229998186,15,11,12,6,15,12,14,13,13,10,12,11,24,15,11,13,12,14,13,16,21,18,24,41,12,14,24
348,3.215264782,13,12,12,8,13,12,10,13,11,12,14,13,22,11,10,6,8,14,13,14,31,18,24,40,11,10,21
349,3.200668053,14,12,9,8,8,7,12,12,10,6,16,14,17,13,9,13,12,12,14,11,26,19,22,42,12,13,18
350,3.186205387,14,10,8,4,11,8,15,15,14,5,14,12,17,16,10,11,8,14,13,13,32,20,20,43,12,14,18
351,3.171874213,13,13,8,11,10,11,10,15,12,8,13,11,18,14,13,8,4,15,13,13,33,16,17,34,11,14,17
352,3.157671995,12,10,9,12,8,11,12,13,13,12,13,13,19,15,12,11,8,13,12,13,25,17,20,42,16,13,16
353,3.143596238,11,5,7,8,9,12,10,13,16,10,10,9,18,16,10,6,7,15,12,14,30,16,23,42,13,10,19
354,3.129644482,17,6,8,5,9,12,9,13,14,8,9,12,17,15,8,7,5,16,12,14,33,16,18,36,10,9,21
355,3.115814302,17,14,10,8,10,10,8,14,13,8,10,16,17,14,8,11,7,13,15,13,32,19,18,36,11,12,23
356,3.102103312,12,12,7,4,10,8,13,13,11,4,12,14,14,17,10,14,8,14,12,9,24,19,18,37,9,17,17
357,3.088509156,14,7,8,5,11,9,8,14,15,9,12,12,16,12,13,10,9,8,10,12,23,13,19,39,15,15,13
358,3.075029516,12,10,9,8,11,7,3,14,12,9,7,13,19,15,14,8,9,10,12,16,26,16,17,37,14,14,13
359,3.061662106,10,11,9,6,7,6,8,12,10,8,13,14,19,18,9,7,6,15,13,10,23,18,14,33,10,10,14
360,3.048404674,14,10,9,6,10,8,9,11,13,8,12,14,21,16,11,6,6,12,11,7,30,16,18,41,9,10,17
361,3.035254998,13,11,11,9,13,6,8,7,10,12,9,14,19,16,11,8,4,10,10,7,21,18,14,40,13,9,18
362,3.02221089,11,7,9,12,11,10,12,7,6,11,11,10,17,15,12,12,7,12,14,13,30,14,17,40,10,10,17
363,3.009270192,11,9,5,9,8,9,8,5,9,5,11,7,18,11,8,10,6,14,14,12,28,13,15,36,9,15,21
364,2.996430779,10,7,8,8,11,7,7,7,9,10,8,11,15,14,7,9,11,9,9,10,23,16,15,35,10,13,24
365,2.983690552,11,8,8,8,11,7,9,9,7,7,11,10,19,18,10,7,13,10,8,14,19,14,15,38,10,10,17
366,2.971047446,12,7,11,10,11,7,11,9,9,7,7,10,15,14,12,6,11,10,12,11,29,12,14,33,11,11,13
367,2.958499423,15,7,9,11,14,9,10,9,10,8,7,9,11,16,12,12,7,10,11,14,29,14,17,34,11,11,17
368,2.946044473,12,8,7,7,8,7,9,11,10,8,11,11,15,16,11,9,9,9,11,11,17,13,20,27,10,15,11
369,2.933680617,11,9,7,9,7,5,12,8,10,11,9,8,22,12,9,7,6,7,12,9,18,14,17,30,7,16,10
370,2.9214059,10,9,8,8,10,7,15,6,9,9,10,9,16,10,5,8,8,6,13,14,18,13,14,29,10,15,14
371,2.909218397,12,9,6,7,8,9,9,11,8,9,14,11,14,14,8,12,7,5,8,10,25,13,13,26,12,10,8
372,2.89711621,12,9,4,8,10,6,5,9,10,6,15,12,14,13,9,10,7,9,15,12,28,13,14,25,11,4,12
373,2.885097466,11,5,10,9,7,8,7,10,9,4,11,13,12,10,13,10,4,16,16,9,22,16,15,25,9,6,13
374,2.873160318,9,8,9,10,3,10,7,11,10,8,11,10,13,8,12,7,7,15,9,5,18,13,18,25,10,8,13
375,2.861302947,8,9,10,9,10,7,6,10,12,2,9,8,13,9,7,8,9,11,6,10,17,14,15,30,13,7,11
376,2.849523556,11,10,8,7,12,9,6,8,6,1,10,13,10,12,11,10,4,14,11,13,18,15,13,24,13,8,15
377,2.837820374,7,13,11,8,8,8,8,6,8,6,10,11,14,14,11,12,9,13,12,13,16,12,16,27,11,8,14
378,2.826191657,7,12,10,7,10,5,8,5,9,8,8,8,11,11,7,11,3,8,11,11,15,7,17,29,8,8,15
379,2.814635681,11,9,11,6,8,10,10,6,7,9,7,8,13,11,8,9,7,7,6,9,10,11,14,25,7,7,19
380,2.803150749,8,8,11,8,8,6,7,10,9,7,7,10,12,11,11,11,10,12,9,10,12,14,13,29,8,8,13
381,2.791735186,8,6,10,9,8,6,8,12,7,3,7,9,15,8,9,9,6,8,10,7,12,14,13,20,11,10,17
382,2.78038734,5,8,8,10,12,5,12,8,8,1,8,5,15,8,7,8,6,6,6,6,9,9,9,30,8,10,7
383,2.769105583,5,8,8,7,13,7,14,6,14,4,10,10,16,13,12,7,6,9,14,9,16,10,17,23,9,9,13
384,2.757888307,10,8,6,8,12,8,11,7,9,8,8,16,13,11,11,6,6,9,13,11,18,10,12,22,6,9,15
385,2.74673393,8,11,7,9,11,8,10,6,6,10,8,12,11,14,7,10,8,8,9,11,17,9,11,27,9,11,11
386,2.735640889,10,10,5,10,7,10,7,7,6,6,8,5,11,14,9,11,7,5,10,12,4,12,18,26,11,15,12
387,2.724607643,13,5,5,4,9,9,6,11,5,3,7,8,12,10,10,9,8,8,11,10,6,12,14,22,8,11,11
388,2.713632672,9,11,5,4,10,9,6,11,9,4,6,10,11,13,8,10,6,9,10,8,10,13,8,26,6,5,10
389,2.702714479,9,12,6,5,8,7,7,8,9,7,6,10,10,15,6,8,6,9,6,9,9,6,10,22,11,10,11
390,2.691851587,12,9,9,9,6,10,8,6,8,8,7,11,13,9,6,8,7,13,9,7,7,7,13,25,10,14,10
391,2.681042537,13,4,7,9,9,11,6,9,7,9,6,7,11,9,9,11,7,8,9,5,6,13,11,23,9,7,16
392,2.670285894,11,10,10,8,8,9,6,9,9,6,9,7,8,10,8,8,5,7,9,14,8,13,11,21,11,10,13
393,2.659580241,10,4,12,6,4,9,3,8,16,8,10,10,11,9,9,3,5,6,13,11,6,8,14,20,12,11,13
394,2.64892418,12,1,6,8,7,8,9,9,10,11,10,8,12,9,11,8,6,7,11,7,7,7,8,19,8,6,13
395,2.638316336,10,5,6,6,7,8,9,7,6,7,8,5,14,8,10,10,12,6,9,5,8,10,7,17,5,7,16
396,2.627755351,8,7,7,5,9,7,7,4,9,5,6,7,12,9,9,6,9,8,9,7,6,9,11,24,10,10,18
397,2.617239885,11,7,6,7,10,8,6,8,9,7,6,5,14,6,8,6,7,7,9,10,5,8,13,18,11,8,18
398,2.606768619,9,10,10,9,7,8,7,11,6,6,11,9,14,11,11,6,12,7,8,10,5,8,12,21,9,8,14
399,2.596340253,8,9,6,10,6,8,9,8,5,9,9,6,13,11,8,7,5,9,6,8,8,6,12,21,8,8,11
400,2.585953503,9,5,3,7,7,9,11,8,7,7,1,8,13,7,5,8,6,5,9,9,5,7,12,23,6,5,18
401,2.575607107,9,5,8,9,7,9,15,8,11,5,9,10,12,7,7,8,9,8,11,14,8,7,10,19,7,3,11
402,2.565299819,11,11,9,10,5,5,11,7,12,5,10,7,15,8,10,8,8,11,7,12,9,13,10,23,9,8,10
403,2.555030411,10,11,7,7,8,8,7,10,11,6,7,8,12,8,8,8,9,4,9,5,8,11,9,17,7,8,15
404,2.544797674,8,7,7,7,9,7,8,9,7,6,11,10,9,9,7,10,3,6,9,7,5,10,7,23,6,6,10
405,2.534600416,10,11,9,10,11,8,8,5,7,8,6,9,12,11,10,5,6,9,9,7,7,10,8,23,2,6,13
406,2.524437462,8,9,9,10,10,6,8,7,7,5,5,10,13,7,6,2,12,10,8,8,7,9,5,23,8,6,17
407,2.514307655,10,6,8,5,10,4,10,8,6,5,9,10,11,7,4,7,8,4,8,6,8,11,6,22,10,7,17
408,2.504209857,11,5,9,5,8,5,9,8,7,4,9,11,11,12,9,10,6,6,9,9,5,11,12,21,6,4,12
409,2.494142945,12,7,9,3,9,3,9,6,9,0,9,8,13,9,15,8,5,10,7,7,6,10,10,26,9,6,17
410,2.484105813,8,12,7,3,10,8,6,7,9,9,11,7,10,6,13,7,9,9,8,10,10,13,8,24,7,10,14
411,2.474097373,10,8,2,6,10,11,4,7,7,7,6,8,8,6,3,5,9,8,8,12,9,9,9,20,7,10,14
412,2.464116553,9,7,4,7,10,11,7,7,8,1,8,6,12,3,8,9,7,7,7,12,5,8,7,19,11,9,19
413,2.454162298,9,11,2,3,10,10,7,9,2,6,8,7,14,9,9,8,6,8,10,9,7,8,8,19,7,7,11
414,2.44423357,10,5,5,3,10,9,4,7,7,10,5,8,9,9,6,8,6,5,7,5,8,10,8,14,6,8,14
415,2.434329346,8,7,8,4,10,9,6,5,9,7,6,6,9,6,5,10,8,7,7,7,10,13,9,19,8,9,18
416,2.42444862,6,9,7,7,8,10,8,5,6,8,4,4,11,6,8,9,11,10,10,7,8,9,6,17,9,9,11
417,2.414590404,10,7,6,9,9,9,7,7,5,5,5,1,13,11,6,6,4,12,7,4,7,8,3,18,7,9,16
418,2.404753724,8,6,6,7,9,9,8,12,10,5,5,2,10,8,5,9,3,10,10,6,6,11,7,17,7,4,10
419,2.394937622,8,9,9,6,7,8,5,11,7,6,7,7,7,6,7,7,6,9,10,10,5,12,11,14,9,11,9
420,2.385141157,9,9,8,3,6,9,8,13,8,7,8,10,6,9,4,6,10,7,9,9,8,13,12,16,6,12,10
421,2.375363404,7,7,12,4,7,10,6,9,8,6,10,9,8,5,5,8,8,6,9,7,7,8,7,13,5,9,10
422,2.365603451,8,13,11,6,10,6,7,6,6,5,7,5,10,5,5,9,6,5,11,6,6,9,7,16,7,10,7
423,2.355860407,7,12,5,5,8,4,11,7,9,7,9,6,12,9,6,7,7,6,8,8,9,9,7,20,9,10,3
424,2.346133391,8,6,8,4,8,10,10,6,4,5,8,2,10,11,9,7,6,5,6,6,9,8,9,13,9,5,2
425,2.336421542,8,6,9,6,10,12,5,4,6,6,6,7,9,9,10,12,7,8,6,7,5,7,10,14,7,6,7
426,2.326724011,7,7,7,7,14,7,2,5,7,8,7,12,11,12,9,7,7,8,5,8,11,9,12,14,9,7,7
427,2.317039966,9,7,2,8,7,7,6,8,3,7,7,10,12,11,9,3,5,8,11,6,8,9,11,12,6,2,5
428,2.307368592,9,7,6,7,5,7,10,9,5,9,4,11,12,6,6,8,6,6,10,5,7,5,11,16,5,5,8
429,2.297709087,7,7,6,7,7,4,7,11,9,5,6,6,8,7,9,10,8,7,6,5,7,11,7,15,12,7,4
430,2.288060664,8,6,13,7,5,10,7,5,6,6,7,5,9,7,9,6,8,4,11,8,7,12,6,17,8,7,5
431,2.278422552,8,6,8,6,10,10,9,8,7,6,5,4,11,9,7,6,8,5,12,5,10,11,9,16,3,7,3
432,2.268793997,6,6,8,8,10,8,5,9,13,6,7,6,9,10,8,9,8,11,8,8,4,8,10,17,3,6,3
433,2.259174257,8,9,9,10,6,10,4,7,6,9,7,9,9,7,6,7,5,8,8,9,7,5,8,14,10,6,8
434,2.249562607,9,8,9,2,8,6,7,7,4,11,9,8,11,7,7,5,8,7,8,8,10,10,6,10,8,12,13
435,2.239958335,8,6,5,4,10,6,5,4,9,8,8,9,14,10,6,4,10,11,7,5,11,10,10,12,5,8,6
436,2.230360747,7,8,5,8,7,7,8,8,8,8,4,6,12,5,4,8,8,8,5,7,6,10,9,15,9,9,4
437,2.220769162,8,9,7,7,7,6,7,11,5,5,4,3,8,9,5,6,4,7,9,7,6,10,7,7,11,4,6
438,2.211182914,9,8,10,10,7,6,5,10,8,9,11,8,7,10,6,4,6,11,11,8,9,8,8,11,5,1,9
439,2.201601351,10,11,8,6,9,5,9,8,7,10,10,11,9,10,9,9,12,10,5,5,5,7,10,14,5,7,12
440,2.192023838,8,5,6,6,7,6,7,5,7,3,6,4,9,12,5,9,8,2,8,6,8,7,7,12,12,10,11
441,2.182449753,4,3,9,11,8,7,3,6,6,7,7,4,8,12,10,8,6,5,10,10,8,6,7,6,9,5,5
442,2.17287849,9,7,5,8,7,8,9,8,7,10,6,11,9,10,10,7,6,6,7,9,11,3,9,7,6,6,11
443,2.163309456,12,11,5,7,7,8,6,5,7,9,10,9,9,13,7,5,10,4,12,5,9,3,3,6,7,6,14
444,2.153742075,7,10,8,8,10,7,3,7,6,10,7,6,9,11,9,5,9,6,9,7,9,5,8,10,7,7,9
445,2.144175784,6,9,6,6,9,11,8,7,8,7,6,8,11,10,12,4,7,8,7,8,9,10,8,10,5,8,8
446,2.134610035,7,9,7,5,7,11,8,8,5,9,7,8,9,12,6,5,7,10,10,10,5,9,6,10,5,6,11
447,2.125044294,8,5,5,3,5,10,9,7,6,2,6,7,4,13,0,6,9,8,6,8,7,5,4,8,7,10,2
448,2.115478043,11,6,9,4,4,6,6,3,7,6,7,8,9,13,4,7,6,6,3,7,7,1,6,9,6,5,5
449,2.105910777,8,8,10,8,7,8,8,8,9,8,9,11,13,18,8,9,5,9,10,6,7,5,9,14,5,1,5
450,2.096342008,3,8,8,7,8,9,7,11,9,11,8,8,9,18,8,9,10,9,12,5,7,6,8,12,8,8,0
451,2.08677126,8,6,8,7,9,7,7,9,5,6,6,6,8,14,10,6,4,8,7,8,7,9,8,7,7,10,5
452,2.077198072,10,4,4,5,10,9,7,8,7,5,7,10,13,13,10,3,5,8,7,7,10,12,8,5,6,4,6
453,2.067621999,5,12,5,6,10,6,7,7,6,3,6,8,10,15,10,4,11,9,9,6,4,8,7,11,10,5,6
454,2.058042608,9,10,11,11,7,0,6,5,5,4,5,5,7,17,8,8,8,5,4,9,7,6,5,13,13,7,10
455,2.048459483,8,7,9,9,6,6,6,9,7,8,8,4,10,15,6,10,6,5,6,9,10,3,7,7,9,9,3
456,2.03887222,7,6,7,7,9,10,5,8,6,10,9,8,13,15,9,7,7,5,8,5,11,3,6,9,2,5,4
457,2.029280432,11,8,7,8,8,7,2,6,5,7,7,8,11,17,9,6,4,6,9,11,6,8,7,10,8,6,3
458,2.019683745,8,10,5,7,5,5,5,7,8,6,8,6,10,14,5,8,6,9,7,8,6,9,5,11,7,6,3
459,2.010081798,5,6,8,6,8,6,7,7,8,6,6,10,8,11,6,4,6,10,4,7,9,8,6,7,9,6,8
460,2.000474247,9,5,8,5,12,8,5,8,8,2,1,9,9,15,4,4,4,5,10,7,5,7,9,8,8,5,13
461,1.990860761,9,7,7,4,5,9,7,11,7,7,6,4,8,15,7,4,9,7,4,7,8,3,8,9,7,8,6
462,1.981241023,7,10,7,6,4,11,8,6,9,10,9,4,8,15,4,8,7,11,5,10,8,5,4,13,5,7,4
463,1.97161473,6,7,10,7,7,7,8,4,8,9,7,11,9,13,2,9,3,9,7,4,11,11,4,8,5,8,6
464,1.961981596,7,7,11,7,6,3,6,7,7,8,10,9,10,12,2,9,3,6,5,7,9,11,10,6,9,9,9
465,1.952341345,9,9,7,8,6,7,8,10,7,5,10,6,7,12,8,5,9,6,10,10,9,5,10,7,5,7,12
466,1.942693719,8,8,12,9,8,8,8,3,8,7,6,8,6,10,6,6,6,8,13,11,9,5,6,13,3,9,11
467,1.933038472,7,6,11,6,12,7,4,3,10,9,6,9,5,13,7,10,3,8,7,6,5,6,6,8,7,6,5
468,1.923375373,7,4,3,4,10,6,7,5,8,6,8,9,9,12,7,9,9,4,6,6,7,8,8,10,7,8,11
469,1.913704205,7,7,5,6,5,6,10,6,9,5,7,7,8,8,6,7,7,5,7,9,7,7,9,8,4,8,14
470,1.904024765,9,8,7,12,5,5,10,8,9,2,4,7,3,7,6,11,4,4,6,5,7,11,9,9,2,6,9
471,1.894336864,8,7,5,10,4,7,8,4,6,7,4,11,5,13,5,8,9,7,6,8,8,5,9,11,8,9,8
472,1.884640328,3,7,8,5,5,9,8,2,8,7,6,8,9,12,5,6,10,10,9,8,8,7,8,7,6,12,11
473,1.874934996,7,6,5,5,6,9,7,3,7,6,7,8,8,10,6,5,6,7,9,11,11,7,7,7,4,6,2
474,1.865220721,6,8,5,9,10,6,8,6,4,7,3,7,6,9,5,7,6,7,8,9,9,5,5,3,8,3,5
475,1.85549737,7,6,3,8,6,9,7,5,7,9,7,9,14,10,7,6,4,6,8,9,9,3,8,2,6,9,5
476,1.845764826,5,6,6,8,7,9,11,8,7,9,6,11,17,6,8,8,4,9,8,9,9,9,8,10,11,8,0
477,1.836022983,5,10,8,9,7,8,13,9,4,4,3,7,11,7,2,5,10,12,9,5,5,11,7,3,10,6,5
478,1.826271751,8,6,4,5,8,12,4,9,8,5,6,6,5,10,10,8,8,8,9,7,7,9,10,12,8,8,6
479,1.816511052,7,3,5,3,8,8,6,10,5,7,5,4,6,7,7,11,8,4,9,7,7,8,12,9,8,8,6
480,1.806740823,8,5,12,9,7,2,8,7,9,8,4,5,8,4,6,7,9,7,7,7,7,9,9,5,5,7,10
481,1.796961015,9,9,9,8,5,9,5,6,4,6,3,7,9,10,7,6,6,8,6,6,6,7,10,6,9,5,3
482,1.787171592,6,9,7,4,3,11,10,6,6,6,5,10,8,9,4,5,3,5,10,6,6,5,9,5,12,4,4
483,1.777372532,7,6,8,7,8,7,7,7,10,10,8,11,7,10,5,6,6,9,9,9,9,8,9,9,7,4,15
484,1.767563827,11,10,10,12,11,5,6,6,6,8,10,7,11,7,9,6,5,9,8,9,9,8,7,8,11,8,6
485,1.757745482,8,10,8,11,1,8,6,4,8,6,9,9,9,4,6,5,6,7,12,10,10,5,8,2,8,10,10
486,1.747917515,7,7,11,6,4,9,8,4,8,6,5,8,8,8,5,6,9,11,9,5,5,5,7,3,9,8,4
487,1.738079959,11,9,12,6,9,8,9,2,4,9,3,10,10,9,4,9,8,8,10,5,5,11,4,6,12,8,4
488,1.728232859,7,7,9,8,9,7,7,7,4,10,8,9,4,5,3,9,4,5,9,5,5,10,7,5,9,10,9
489,1.718376275,8,6,5,8,4,4,6,10,8,5,5,5,2,10,7,9,3,8,7,5,5,7,8,6,10,6,8
490,1.708510279,11,10,6,5,7,7,7,8,10,4,7,6,6,10,4,7,7,6,8,7,7,9,6,3,7,6,6
491,1.698634956,8,9,9,4,6,9,7,6,8,10,7,8,8,11,6,5,11,5,6,10,10,8,8,5,9,8,3
492,1.688750405,1,9,3,4,10,7,5,7,7,6,5,10,9,10,10,6,7,7,8,8,8,7,6,10,11,7,5
493,1.678856738,5,7,8,6,8,7,8,11,7,4,8,8,8,5,7,8,6,10,8,6,6,9,6,8,9,7,8
494,1.66895408,6,4,7,6,6,9,6,9,6,6,8,8,7,5,2,7,8,4,7,4,4,4,8,10,6,8,10
495,1.659042568,7,7,6,9,6,6,1,7,5,8,7,9,11,10,4,6,7,7,6,5,5,8,9,9,6,11,5
496,1.649122354,9,8,7,8,8,5,3,9,5,6,6,7,9,12,6,5,11,7,9,8,8,10,5,10,8,12,12
497,1.639193601,10,5,4,7,5,5,1,8,7,5,8,3,8,9,8,4,12,7,10,9,9,5,5,10,8,10,2
498,1.629256485,8,5,4,7,4,6,3,2,5,6,8,2,10,8,7,8,6,5,6,10,10,5,3,10,11,11,0
499,1.619311195,5,8,0,4,3,5,2,0,5,10,7,10,4,7,7,6,4,1,4,8,8,6,7,5,12,8,5
500,1.609357933,8,7,1,7,5,4,2,4,8,4,4,7,2,10,8,4,3,5,10,9,9,8,7,2,6,6,0
