Pixel,Ladder,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a,9b,9c
156,19.04149878,38,37,29,19,39,28,36,25,29,16,18,20,16,26,20,24,11,36,39,42,18,18,15,11,22,18,17
157,18.72923431,41,43,30,23,34,35,36,20,23,17,22,22,19,23,18,25,15,37,35,41,21,15,15,15,22,18,18
158,18.42399084,40,44,32,23,38,38,30,22,27,22,23,23,21,20,18,21,12,38,33,41,15,14,16,12,21,17,17
159,18.12558376,41,42,36,20,42,36,30,23,29,23,25,28,23,24,16,22,14,34,40,44,19,19,14,9,24,21,15
160,17.83383394,42,47,36,23,43,39,37,27,29,24,27,26,24,19,15,21,17,33,40,50,22,18,12,8,28,22,14
161,17.54856751,43,50,36,23,50,42,39,29,33,22,26,28,25,17,20,23,13,32,45,52,17,20,15,6,25,21,11
162,17.26961578,43,49,38,25,49,40,37,33,34,21,29,33,25,17,19,23,13,28,47,56,20,18,18,5,29,19,12
163,16.99681496,46,51,38,23,48,44,37,35,41,26,37,34,25,16,17,22,11,29,46,56,26,15,15,9,26,25,9
164,16.73000608,52,52,41,25,53,46,39,37,45,30,37,37,28,23,21,19,14,24,48,57,24,16,15,12,31,26,13
165,16.46903481,48,57,43,31,54,48,45,44,48,29,38,39,25,26,23,19,15,24,51,61,18,14,19,9,36,23,14
166,16.21375131,48,57,41,32,56,50,47,43,50,31,45,46,26,23,20,26,12,28,50,68,25,16,17,7,35,28,9
167,15.96401008,52,58,44,33,61,48,52,46,53,32,50,43,29,24,22,21,16,29,56,67,19,22,16,14,36,27,18
168,15.71966983,56,58,50,34,61,48,49,56,56,31,49,43,32,30,24,22,16,31,56,66,17,17,17,15,36,33,10
169,15.48059335,53,60,45,32,63,51,50,54,59,32,48,41,34,31,23,24,15,35,59,71,18,19,17,10,41,37,12
170,15.24664735,51,61,43,34,62,51,48,53,62,32,49,42,33,28,27,28,16,38,55,70,25,23,21,7,41,36,12
171,15.01770239,58,61,46,35,65,53,52,61,69,35,47,45,37,33,28,32,17,39,59,73,28,19,20,10,37,38,14
172,14.79363271,61,66,45,36,64,50,58,65,72,34,51,45,34,37,27,31,19,43,63,73,27,20,17,15,38,41,14
173,14.57431612,57,65,53,35,65,48,54,68,68,36,51,47,35,35,30,31,16,48,64,72,26,21,18,18,44,41,13
174,14.35963392,57,64,54,32,64,50,60,68,72,34,49,51,38,37,32,28,16,53,62,76,25,24,23,10,47,46,21
175,14.14947077,56,68,51,33,60,55,63,69,72,32,50,46,39,42,30,27,22,55,64,73,28,24,21,11,46,43,18
176,13.94371456,57,67,55,37,63,52,58,72,75,35,51,41,45,41,33,28,21,56,65,75,33,27,24,9,42,46,16
177,13.74225634,56,71,60,35,65,51,63,68,75,34,49,47,43,43,33,28,20,54,68,76,29,25,25,15,42,47,13
178,13.54499024,57,73,63,35,65,50,66,71,74,30,47,46,45,47,32,29,23,57,62,74,36,28,29,8,43,42,20
179,13.35181331,61,72,62,34,65,54,63,74,76,30,53,46,46,46,33,31,22,57,62,76,38,32,30,7,46,44,19
180,13.1626255,64,74,64,38,65,52,65,71,72,36,50,45,44,47,35,30,25,52,62,72,42,31,29,14,47,48,19
181,12.97732952,63,75,69,38,66,55,64,72,75,37,49,44,46,46,33,29,27,52,61,72,38,30,35,15,47,46,16
182,12.79583079,63,76,65,38,67,59,63,71,73,33,51,47,49,41,34,32,21,53,62,77,40,33,36,19,47,45,22
183,12.61803733,67,76,65,38,69,58,60,70,73,35,49,49,52,47,38,30,17,52,60,71,43,37,39,20,48,48,21
184,12.44385969,66,75,71,39,72,53,63,65,74,32,50,48,53,46,37,31,17,53,62,70,52,34,38,21,50,49,20
185,12.27321087,66,74,68,40,72,58,65,69,70,33,52,46,51,43,36,33,19,54,61,76,54,37,39,18,50,49,22
186,12.10600627,70,73,65,39,70,59,66,71,70,35,50,51,51,51,38,32,17,52,62,73,58,37,40,22,46,54,27
187,11.94216358,71,72,64,40,72,64,65,65,70,35,50,49,53,56,38,32,19,49,65,75,57,35,40,23,51,56,24
188,11.78160273,69,73,64,42,71,63,64,68,67,34,51,49,53,54,42,33,24,48,67,76,59,36,42,17,52,54,20
189,11.62424583,69,75,63,43,71,62,62,67,68,36,53,48,51,56,45,31,24,51,67,76,59,39,41,29,45,53,29
190,11.47001707,72,74,64,43,70,63,61,65,68,38,53,50,53,60,43,29,24,55,68,78,71,33,43,25,51,52,26
191,11.3188427,73,68,65,42,71,63,61,66,70,38,50,49,54,64,46,33,23,54,69,78,65,35,44,27,50,49,31
192,11.17065096,73,69,64,40,78,61,65,68,73,37,49,48,55,62,47,34,20,53,72,78,64,41,45,30,43,47,40
193,11.02537198,73,71,67,41,77,62,66,69,75,38,52,49,52,63,51,29,20,55,71,80,71,39,48,37,47,50,33
194,10.88293779,76,73,65,40,78,63,62,68,73,40,52,53,53,63,53,32,21,58,70,79,69,34,43,40,49,49,36
195,10.7432822,76,70,62,41,82,64,63,69,72,39,55,53,55,69,52,36,21,57,70,85,74,36,48,41,48,48,38
196,10.60634078,73,73,66,45,78,68,66,71,74,37,57,53,53,68,47,34,21,57,71,83,72,41,48,42,49,47,38
197,10.47205082,70,78,66,48,78,66,66,69,72,42,56,55,53,67,48,38,24,57,76,82,71,38,43,38,51,46,43
198,10.34035125,72,76,62,46,80,70,67,68,76,41,56,56,57,67,50,35,25,63,72,78,79,43,51,37,50,47,45
199,10.21118261,72,75,66,48,78,71,65,70,73,41,56,52,59,69,52,35,25,62,72,81,72,43,51,39,53,49,43
200,10.08448697,76,77,70,44,83,65,66,73,75,41,57,57,56,69,49,39,25,60,72,84,72,44,49,40,55,49,44
201,9.960207966,74,79,65,48,85,67,67,68,78,42,56,60,56,70,52,37,21,63,74,83,78,46,53,38,55,52,41
202,9.838290654,73,80,68,49,85,73,71,70,75,43,65,60,55,70,53,35,26,60,76,86,75,47,53,41,53,53,44
203,9.718681536,76,80,69,46,83,74,67,75,79,48,65,63,57,68,50,34,30,66,78,83,75,45,51,45,54,56,51
204,9.601328495,77,80,70,44,85,73,65,76,81,44,64,60,56,67,52,35,25,70,76,81,69,47,51,47,59,55,44
205,9.486180759,74,80,72,48,83,69,69,70,79,46,66,58,53,65,51,36,23,69,74,83,75,49,56,50,61,57,46
206,9.373188859,73,82,68,49,84,73,71,69,75,49,67,64,55,65,51,38,24,68,75,83,76,48,57,51,59,57,47
207,9.262304596,78,84,72,48,89,73,67,72,78,49,70,65,55,68,51,39,28,67,72,85,74,47,57,53,62,56,51
208,9.153481001,76,84,74,50,84,71,69,72,81,45,68,63,59,67,50,38,30,71,75,88,67,45,57,53,64,59,51
209,9.046672301,76,85,72,51,82,77,72,70,81,46,69,67,59,68,52,41,28,72,74,87,79,45,55,53,59,62,52
210,8.941833888,75,86,74,49,86,76,71,76,82,49,72,66,56,68,51,40,23,71,76,85,70,50,57,56,57,61,53
211,8.838922279,71,86,76,49,91,71,69,76,83,48,73,67,52,66,48,37,27,65,75,86,75,49,57,55,66,67,56
212,8.737895091,74,86,77,49,87,79,74,73,83,51,74,69,52,65,47,35,27,71,75,87,79,52,60,49,65,65,54
213,8.638711008,76,88,80,50,88,78,71,77,84,56,75,72,56,67,50,38,25,72,79,85,76,52,60,54,67,65,55
214,8.541329747,72,89,80,51,89,72,72,79,84,50,75,74,51,66,50,37,26,69,79,85,77,50,59,49,66,68,52
215,8.445712033,74,88,82,53,87,74,70,75,80,53,76,71,54,67,53,38,25,67,73,89,77,56,59,46,67,68,49
216,8.351819572,77,83,84,50,84,76,70,72,82,55,76,70,55,68,49,35,28,71,73,88,77,57,60,53,71,70,48
217,8.259615019,75,84,83,50,86,76,71,78,83,48,78,70,53,67,50,37,24,71,74,90,83,56,62,56,73,73,46
218,8.169061954,78,87,82,50,89,78,72,77,80,50,76,72,52,67,52,37,24,70,79,88,77,51,65,47,74,78,50
219,8.080124856,80,88,81,51,88,77,72,78,81,54,77,73,51,69,54,37,22,66,82,87,83,56,70,53,75,78,47
220,7.99276908,79,88,80,49,89,73,78,78,83,52,79,70,53,73,52,40,23,66,80,85,82,57,66,51,76,81,48
221,7.90696083,76,87,81,50,91,74,77,79,83,52,79,74,51,67,49,43,28,68,79,87,84,60,62,51,79,85,48
222,7.822667134,82,89,81,52,85,75,70,81,82,54,80,71,51,66,53,35,26,69,76,84,81,61,65,55,78,85,46
223,7.739855828,84,89,82,52,83,73,70,74,78,55,81,71,55,70,54,36,24,72,78,81,84,61,68,57,78,82,49
224,7.658495526,80,87,84,51,86,72,69,74,81,54,79,71,55,68,51,41,26,70,76,84,85,59,71,52,82,82,52
225,7.578555605,82,86,85,53,88,72,71,76,85,51,77,74,56,69,52,38,25,70,75,81,82,59,73,52,85,86,56
