Field number,Collection date,Season,Sex,Class,Elevation,Habitat description,Total Length,Hind Foot,Ear,FA length,Mass
DMR989,7/15/17,RAINY,Male,MALE JUVENILE,974,Epomophorus sighted in mohagany tree in rural trading center surrounded by agricultural plots,117,21,20,67.5,44
DMR1024,7/19/17,RAINY,Male,MALE JUVENILE,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",121,17,21,68,47.7
DMR982,7/14/17,RAINY,Male,MALE JUVENILE,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",112,19,22,69.9,41.85
DMR1004,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",109,21,20.5,67.44,40.85
DMR1007,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",114,18.5,20,68.7,42.18
DMR980,7/14/17,RAINY,Male,MALE JUVENILE,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",122,18,21,70.5,53.71
DMR998,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",128,18,22,71.2,62.7
DMR1006,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",118,18,21,71.24,52.09
DMR981,7/14/17,RAINY,Male,MALE SUBADULT,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",135,19,22,73,66.18
DMR992,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",134,20,21,74.51,65.82
DMR994,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",133,19,21,74.86,65.97
DMR1000,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",135,18,22,76.68,70.9
DMR1001,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",135,19,20,76.84,66.66
DMR1002,7/16/17,RAINY,Male,MALE JUVENILE,957,"Rural area with multiple tukals, agricultural plots, rolling hills",116,19,22,68.63,48.14
