Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0110823	475	160	89	679	401	401	278	270	140	399	622	556	377.65	229	526	2.264	1.179	0.000172890407008496	0.00406292456469966	0.0641	0.0475
FBtr0078156	72	62	179	666	228	328	42	105	282	391	354	455	271.53	143	400	3.356	1.747	0.0001760445991431	0.00413162599849999	0.1309	0.0567
FBtr0085105	76	18	29	186	70	68	45	30	46	109	109	94	72.14	40	104	2.573	1.363	0.000179008075703142	0.00419019295636101	0.0736	0.0963
FBtr0345005	330	146	147	586	302	342	193	246	232	344	468	474	326.47	224	429	1.902	0.928	0.000179936676133871	0.00420094662259352	0.0396	0.0514
FBtr0075568	454	378	320	1578	625	557	266	638	505	928	969	773	679.69	470	890	2.008	1.006	0.000186177054362783	0.0043187427681199	0.0477	0.0351
FBtr0302515	1	2	13	63	33	19	1	3	21	37	51	26	23.17	8	38	6.34	2.664	0.000188852977353965	0.00436360034255154	0.2319	0.0813
FBtr0345447	35	3	39	714	74	73	21	5	62	420	115	101	120.46	29	212	5.904	2.562	0.000189346890766431	0.00436937470741557	0.2531	0.0825
FBtr0331425	71	43	31	163	100	112	42	73	49	96	155	155	94.88	55	135	2.462	1.3	0.000191110451338314	0.00439873374307866	0.0711	0.091
FBtr0081544	277	73	127	535	225	257	162	123	200	314	349	356	250.95	162	340	2.089	1.063	0.000192723056195087	0.00443015631230478	0.0521	0.0591
FBtr0072557	4386	1355	1484	6711	2265	2512	2570	2287	2341	3945	3512	3484	3023.25	2399	3647	1.519	0.603	0.00019331682164232	0.00443810810916542	0.0183	0.0249
FBtr0340125	86	65	71	337	146	142	50	110	112	198	226	197	148.93	91	207	2.439	1.286	0.000193581566607357	0.00443849566355691	0.0728	0.0767
FBtr0333219	95	19	8	278	39	44	56	32	13	163	60	61	64.21	34	95	2.812	1.491	0.000195833962613841	0.00448257205853542	0.0835	0.0973
FBtr0112888	586	166	182	953	350	395	343	280	287	560	543	548	426.91	303	550	1.814	0.86	0.000199829191744858	0.00455839660710214	0.0349	0.0444
FBtr0073265	1384	787	596	1831	1374	1629	811	1329	940	1076	2130	2259	1424.32	1027	1822	1.705	0.77	0.000201244286653326	0.00458483643905994	0.0295	0.0268
FBtr0086675	343	114	133	673	215	337	201	192	210	396	333	467	299.94	201	399	1.983	0.987	0.000202301992248746	0.00460307722388601	0.0456	0.0537
FBtr0302577	388	86	95	897	242	159	227	145	150	527	375	221	274.24	174	374	2.119	1.083	0.000205052803739476	0.00464795007159848	0.0545	0.0561
FBtr0077739	3239	1446	1619	5089	2339	2765	1898	2441	2554	2991	3627	3835	2891.04	2298	3484	1.521	0.605	0.000208456399242079	0.0047131676025605	0.0186	0.0249
FBtr0080509	2482	589	285	3535	961	1783	1454	994	450	2078	1490	2473	1489.86	966	2014	2.206	1.142	0.000209290916759877	0.00472011643125833	0.0642	0.0265
FBtr0087232	1805	667	760	2758	1172	1357	1058	1126	1199	1621	1817	1882	1450.53	1128	1773	1.571	0.652	0.000209065787394337	0.00472011643125833	0.0212	0.0267
FBtr0088832	1854	612	751	2984	1109	1240	1086	1033	1185	1754	1720	1720	1416.29	1101	1731	1.572	0.653	0.000211753559543695	0.00475768003858085	0.0213	0.0268
FBtr0343995	69	15	17	217	42	40	40	25	27	128	65	55	56.79	31	83	2.622	1.391	0.000216012978169473	0.00481711631392372	0.0713	0.0984
FBtr0076500	191	122	102	709	265	183	112	206	161	417	411	254	260.04	160	361	2.315	1.211	0.000226393552424632	0.00502358035101349	0.0687	0.058
FBtr0085602	275	151	128	572	257	329	161	255	202	336	398	456	301.5	206	397	1.943	0.959	0.000226270611194761	0.00502358035101349	0.0437	0.0537
FBtr0080846	556	177	169	1083	294	389	326	299	267	637	456	540	420.53	297	544	1.826	0.869	0.000228047939694721	0.00504778053907709	0.0363	0.0448
FBtr0081258	2348	726	862	3228	1401	1549	1376	1226	1360	1897	2172	2148	1696.59	1321	2072	1.565	0.647	0.000229364776783168	0.00507066056525456	0.0212	0.0258
FBtr0302201	717	146	169	1280	298	332	420	246	267	752	462	460	434.69	311	558	1.795	0.844	0.000229708468080403	0.00507199696413784	0.034	0.0439
FBtr0304119	237	151	116	637	227	310	139	255	183	374	352	430	288.86	192	385	2.058	1.041	0.000230554617256384	0.00507815686495703	0.0516	0.0549
FBtr0077479	222	32	32	431	114	84	130	54	50	253	177	117	130.2	78	182	2.439	1.286	0.000239226712238959	0.00523056500129797	0.0731	0.0804
FBtr0083294	985	354	374	1584	605	733	577	598	590	931	938	1017	775.1	588	962	1.635	0.709	0.000244298494352156	0.00533494285166349	0.025	0.0331
FBtr0330617	2242	295	217	2983	530	632	1314	498	342	1753	822	877	934.3	718	1151	1.75	0.807	0.000247435820325229	0.0053903080712456	0.0324	0.0306
FBtr0343443	3737	1829	1798	6079	2653	3324	2190	3087	2837	3573	4114	4610	3401.85	2705	4099	1.524	0.608	0.000260692687168368	0.00561846458379588	0.0195	0.0251
FBtr0273275	147	36	44	366	78	129	86	61	69	215	121	179	121.89	72	172	2.372	1.246	0.000262122806126772	0.00564162630926936	0.07	0.0829
FBtr0086053	63	27	35	368	95	51	37	46	55	216	147	71	95.34	46	145	3.064	1.615	0.000266075012997607	0.00571981423499177	0.1135	0.0901
FBtr0081362	187	34	93	685	104	213	110	57	147	403	161	295	195.5	105	286	2.656	1.409	0.000270980283662228	0.00581827810496344	0.0952	0.0668
FBtr0334953	67	3	9	362	27	9	39	5	14	213	42	12	54.28	19	89	3.774	1.916	0.000274065191190819	0.00586087494306863	0.1267	0.0983
FBtr0079779	168	50	55	325	122	160	98	84	87	191	189	222	145.29	90	201	2.223	1.152	0.000277197009541924	0.00591628945157001	0.0615	0.0773
FBtr0333058	38	13	9	155	28	27	22	22	14	91	43	37	38.4	19	57	2.888	1.53	0.000283489781334637	0.00602903980327713	0.082	0.0956
FBtr0333777	195	76	70	699	126	159	114	128	110	411	195	221	196.63	117	276	2.25	1.17	0.00028526271088427	0.00605954847426408	0.0639	0.0666
FBtr0088847	419	199	363	1032	493	538	246	336	573	607	764	746	545.23	385	706	1.899	0.925	0.000288547920835847	0.00611482558391421	0.0436	0.0392
FBtr0071911	3399	1095	990	4838	1764	1968	1992	1848	1562	2844	2735	2730	2285.1	1801	2770	1.541	0.624	0.000292573777375819	0.00616366897819858	0.0206	0.0249
FBtr0083948	866	276	349	1198	593	717	507	466	551	704	919	994	690.35	508	872	1.696	0.762	0.00029234327791559	0.00616366897819858	0.0296	0.0349
FBtr0330176	29	2	8	59	22	31	17	3	13	35	34	43	24.13	11	37	3.201	1.679	0.000294653189949015	0.00620018175372153	0.0912	0.0837
FBtr0083552	328	108	89	466	315	265	192	182	140	274	488	368	274.14	171	377	2.139	1.097	0.000300279999368172	0.00630376781792011	0.059	0.0564
FBtr0084910	100	102	137	226	227	283	59	172	216	133	352	393	220.71	149	293	2.024	1.017	0.00030217558102834	0.00633613364107083	0.0499	0.0635
FBtr0085000	65	15	21	254	29	65	38	25	33	149	45	90	63.49	32	95	2.835	1.503	0.000319135487346427	0.00666444625462788	0.0947	0.0976
FBtr0299660	19	6	3	59	11	20	11	10	5	35	17	28	17.58	9	27	3.06	1.614	0.000319321767268148	0.00666444625462788	0.0655	0.075
FBtr0305074	34	5	6	124	37	10	20	8	9	73	57	14	30.33	12	48	3.785	1.92	0.00032043742718776	0.00667994529528663	0.1372	0.091
FBtr0309042	1063	260	231	2068	443	419	623	439	364	1216	687	581	651.64	475	828	1.7	0.766	0.000323909141787984	0.00674446628139236	0.03	0.0358
FBtr0331308	25	13	13	124	25	37	15	22	21	73	39	51	36.68	19	54	2.95	1.561	0.000327358772803667	0.00680431717754193	0.0897	0.0944
FBtr0078326	32	9	8	116	30	18	19	15	13	68	47	25	31.04	16	47	2.974	1.572	0.000328066420779205	0.00680728319454602	0.0848	0.0912
FBtr0087859	766	420	446	1134	695	977	449	709	704	667	1078	1355	826.8	621	1033	1.638	0.712	0.000338013370637565	0.00698938271132435	0.0267	0.0322
FBtr0347011	563	220	186	761	449	520	330	371	293	447	696	721	476.58	331	621	1.826	0.869	0.000340418594674848	0.00703099858690023	0.0387	0.042
FBtr0344967	34	13	12	102	35	32	20	22	19	60	54	44	36.57	20	53	2.632	1.396	0.00034369439776788	0.00708231942558047	0.0699	0.0941
FBtr0345460	274	102	54	551	184	212	161	172	85	324	285	294	220.19	139	301	2.167	1.116	0.00035088066956991	0.00721380040182363	0.0624	0.0631
FBtr0072525	25	4	5	76	11	18	15	7	8	45	17	25	19.33	10	29	2.946	1.559	0.000360662730437421	0.00735579443501468	0.0625	0.0788
FBtr0079061	42	5	16	116	40	30	25	8	25	68	62	42	38.35	19	57	2.915	1.543	0.000360634811740838	0.00735579443501468	0.0931	0.0952
FBtr0113066	327	101	134	747	212	249	192	170	211	439	329	345	281.11	191	371	1.934	0.951	0.000374988449170426	0.00758747814609584	0.0458	0.0555
FBtr0079616	1387	492	521	1869	915	1017	813	831	822	1099	1419	1411	1065.53	822	1310	1.579	0.659	0.000376526215392615	0.00760999428785052	0.0233	0.0292
FBtr0343506	525	109	147	880	275	283	308	184	232	517	426	393	343.29	241	445	1.86	0.896	0.000378208670660409	0.00762678228098642	0.041	0.0499
FBtr0076503	277	38	87	620	165	143	162	64	137	364	256	198	197.06	121	273	2.246	1.167	0.000383908235385678	0.00773300874134009	0.0684	0.0666
FBtr0100533	472	261	458	878	527	1018	277	441	723	516	817	1412	697.49	480	915	1.899	0.925	0.000391996710642619	0.00786056561867568	0.0465	0.0348
FBtr0343377	209	53	80	601	104	184	122	89	126	353	161	255	184.65	112	256	2.227	1.155	0.000399717410286184	0.00800642020804776	0.0665	0.0688
FBtr0081620	70	31	20	179	79	62	41	52	32	105	122	86	73.1	42	104	2.512	1.329	0.000403545694209818	0.00807407010750303	0.0802	0.0962
FBtr0076523	16	5	4	47	10	23	9	8	6	28	16	32	16.53	8	25	3.07	1.618	0.000404468347865048	0.00808349855493239	0.0686	0.0724
FBtr0086281	641	243	306	981	497	585	376	410	483	577	771	811	571.2	423	720	1.686	0.754	0.000413781480861579	0.00824203000866329	0.0303	0.0382
FBtr0079523	484	117	125	970	245	231	284	198	197	570	380	320	324.79	226	423	1.854	0.891	0.000422011289704114	0.00839661796081287	0.0409	0.0513
FBtr0074805	2083	488	516	3181	816	909	1221	824	814	1870	1265	1261	1209.04	953	1465	1.539	0.622	0.000426603959026128	0.00846917637946881	0.0211	0.028
FBtr0080171	18	29	13	128	68	40	11	49	21	75	105	55	52.69	27	78	3.36	1.748	0.000432326580835307	0.00857328026912274	0.1359	0.0983
FBtr0091533	290	78	73	462	187	202	170	132	115	272	290	280	209.74	139	281	2.024	1.018	0.000434200846262067	0.00860092317921994	0.0525	0.0647
FBtr0304802	709	221	241	1647	360	412	415	373	380	968	558	571	544.41	389	699	1.747	0.805	0.000435551840606562	0.0086181511709853	0.0344	0.0391
FBtr0343770	36	16	39	220	67	60	21	27	62	129	104	83	71.01	37	105	3.039	1.603	0.000441434431090429	0.00869611260455041	0.1179	0.0966
FBtr0082018	475	156	186	953	301	336	278	263	293	560	467	466	388.01	278	498	1.786	0.836	0.00044231300378672	0.00870384500967999	0.0369	0.0468
FBtr0308622	616	311	443	636	1121	1100	361	525	699	374	1738	1526	870.43	528	1213	1.953	0.966	0.000447117989318641	0.00877910288895714	0.0497	0.0316
FBtr0113003	17	8	7	40	23	26	10	14	11	24	36	36	21.62	12	32	2.657	1.41	0.000455301783096521	0.0089202286979315	0.0552	0.079
FBtr0083810	185	34	40	414	95	87	108	57	63	243	147	121	123.37	76	170	2.228	1.156	0.000477041903991243	0.00931558274238952	0.0647	0.0823
FBtr0339516	70	20	18	429	43	37	41	34	28	252	67	51	78.89	34	123	2.968	1.57	0.000480615324731187	0.00937514010889037	0.1066	0.0939
FBtr0077136	271	74	78	589	152	164	159	125	123	346	236	227	202.69	136	270	1.974	0.981	0.000487670995227873	0.0094715016394203	0.0492	0.0657
FBtr0332038	104	45	68	278	130	125	61	76	107	163	202	173	130.42	81	179	2.245	1.167	0.000492450254457732	0.00955396176226934	0.0687	0.0811
FBtr0080513	1154	632	820	2717	1088	1153	676	1067	1294	1597	1687	1599	1320.01	1012	1628	1.662	0.733	0.000493413201406922	0.0095622837636296	0.0302	0.0274
FBtr0332581	37	3	5	74	18	22	22	5	8	43	28	31	22.76	12	34	2.925	1.548	0.000506077395043107	0.0097654395614622	0.0763	0.0833
FBtr0085786	602	256	238	1384	375	457	353	432	376	813	581	634	531.53	387	676	1.743	0.802	0.000510415165136041	0.00983854075574928	0.0351	0.0396
FBtr0087369	216	60	65	430	129	157	127	101	103	253	200	218	166.82	110	224	2.029	1.021	0.000518467285388459	0.00998300395639907	0.0532	0.0724
FBtr0070724	266	96	108	904	158	212	156	162	170	531	245	294	259.78	163	357	2.1	1.07	0.000524140229652041	0.0100813953731247	0.0599	0.0578
FBtr0076791	97	30	31	199	88	80	57	51	49	117	136	111	86.79	52	121	2.312	1.209	0.000525057951480939	0.0100882110913832	0.0702	0.0928
FBtr0079789	3724	1468	1719	6720	2377	2504	2182	2478	2712	3950	3686	3473	3080.16	2457	3703	1.511	0.596	0.000525701161990694	0.0100897435238664	0.0206	0.0249
FBtr0087207	140	35	61	282	111	147	82	59	96	166	172	204	129.85	79	181	2.265	1.18	0.000533886128630966	0.0102030938157894	0.0714	0.0811
FBtr0088073	1978	756	769	2835	1257	1414	1159	1276	1213	1666	1949	1961	1537.52	1216	1859	1.524	0.608	0.000536052627444	0.0102335761190189	0.0213	0.0263
FBtr0306651	1146	371	418	1383	760	959	672	626	660	813	1178	1330	879.79	653	1107	1.659	0.73	0.000539950744153211	0.010294989521822	0.03	0.0314
FBtr0086568	70	24	30	154	66	78	41	41	47	91	102	108	71.65	43	100	2.319	1.214	0.000547506369613493	0.0104078519752323	0.0686	0.0966
FBtr0079839	48	20	20	259	39	45	28	34	32	152	60	62	61.43	31	91	2.795	1.483	0.000565075106584989	0.0107304347122136	0.0976	0.0979
FBtr0302613	108	19	8	381	46	27	63	32	13	224	71	37	73.45	36	111	2.839	1.505	0.000570549563452772	0.0108114614103162	0.102	0.0952
FBtr0290205	101	58	66	200	160	147	59	98	104	118	248	204	138.46	87	190	2.144	1.101	0.000580288192135263	0.0109612032242259	0.0629	0.0794
FBtr0332720	39	13	19	86	39	59	23	22	30	51	60	82	44.6	25	64	2.517	1.332	0.00058367435563975	0.0110135476147956	0.0761	0.097
FBtr0302569	69	46	40	212	90	100	40	78	63	125	140	139	97.34	60	135	2.31	1.208	0.000586292433359359	0.0110165668026472	0.0728	0.0901
FBtr0303911	1733	471	359	2140	966	889	1015	795	566	1258	1498	1233	1060.95	792	1330	1.703	0.768	0.000585282864768407	0.0110165668026472	0.0339	0.0293
