Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0113323	0	0	0	538	261	229	0	0	0	271	361	278	151.71	0	303	1599.491	10.643	8.694	3.51190732666958e-18	9.90517498272035e-16	0.0221	0.3838	0.0785	0.0785	TRUE	0.2991
FBtr0083397	2003	697	757	3475	1231	1349	1007	1072	1070	1751	1702	1640	1373.42	1050	1698	1.624	0.699	8.66	4.71392827408886e-18	1.30969813167409e-15	0	0.0793	0.0039	0.0039	TRUE	0.0174
FBtr0302188	1457	442	473	2328	890	1004	732	680	668	1173	1231	1220	950.67	693	1208	1.733	0.793	8.573	1.00429941847981e-17	2.67071909642881e-15	0	0.0961	0.005	0.005	TRUE	0.0332
FBtr0088506	1541	496	611	3058	1308	1533	775	763	863	1540	1809	1863	1268.83	800	1737	2.17	1.118	8.292	1.10926863274481e-16	2.58112944981807e-14	0.0069	0.0824	0.0121	0.0121	TRUE	0.123
FBtr0332963	150	58	53	573	178	203	75	89	75	289	246	247	170.16	80	261	3.302	1.723	8.09	5.96880141557847e-16	1.26260498126129e-13	0	0.3466	0.024	0.024	TRUE	0.1113
FBtr0079543	3528	1299	1242	6077	2177	2436	1773	1997	1755	3061	3010	2961	2426.33	1842	3011	1.637	0.711	8.077	6.63175679008764e-16	1.36579324768664e-13	0.0022	0.0629	0.0051	0.0051	TRUE	0.0628
FBtr0333073	587	188	174	1370	515	497	295	289	246	690	712	604	472.72	277	669	2.409	1.269	8.039	9.05476884101946e-16	1.83211436929975e-13	0.0054	0.1514	0.0152	0.0152	TRUE	0.0978
FBtr0075928	0	0	0	730	117	310	0	0	0	368	162	377	151.05	0	302	1596.382	10.641	8.029	9.80245293689588e-16	1.96207162817545e-13	0.2166	0.3852	0.264	0.264	TRUE	1.8033
FBtr0085155	970	382	490	3056	1350	1549	488	587	692	1539	1867	1883	1176.04	589	1763	3	1.585	7.994	1.30579243123764e-15	2.58588575611582e-13	0.0195	0.0857	0.0271	0.0271	TRUE	0.2858
FBtr0080892	461	134	163	918	371	392	232	206	230	462	513	476	353.33	223	484	2.158	1.11	7.964	1.66822742657786e-15	3.23479724434864e-13	0	0.1885	0.0105	0.0105	TRUE	0.0396
FBtr0347567	247	137	227	3719	1230	1400	124	211	321	1873	1701	1702	988.57	219	1759	8.094	3.017	7.93	2.19670740368412e-15	4.17262329791631e-13	0.0995	0.094	0.1014	0.1014	TRUE	1.7885
FBtr0089970	3512	1144	1382	5727	2007	2385	1765	1759	1953	2885	2775	2899	2339.35	1826	2853	1.565	0.646	7.916	2.44291964416812e-15	4.54749491761896e-13	0.0014	0.0637	0.0043	0.0043	TRUE	0.0434
FBtr0076668	0	0	0	289	117	159	0	0	0	146	162	193	83.44	0	167	879.587	9.781	7.885	3.14472816013113e-15	5.79595195057832e-13	0.0166	0.6638	0.1058	0.1058	TRUE	0.1379
