Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0262510	520	11	8	145	6	5	262	17	11	74	8	6	63.12	97	29	0.35	-1.513	-3.816	0.000135439472807821	0.00149862036007675	0.0688	0.0498	0.0543	0.0543	TRUE	NA
FBgn0015903	1419	435	416	997	345	406	714	680	593	509	483	497	579.34	662	496	0.748	-0.418	-3.81	0.000138694000304335	0.00153088371520292	0.0018	0.0093	0.0068	0.0068	TRUE	NA
FBgn0029820	2363	945	1046	1903	853	981	1189	1478	1491	972	1194	1201	1254	1386	1122	0.811	-0.303	-3.809	0.000139760429384162	0.00154077351418637	0	0.0066	0.0037	0.0037	TRUE	NA
FBgn0031170	2294	759	706	1733	629	642	1154	1187	1006	885	881	786	983.09	1116	851	0.762	-0.392	-3.807	0.000140900358756924	0.0015514485300397	0.0046	0.0072	0.0065	0.0065	TRUE	NA
FBgn0000395	1231	441	351	869	296	327	619	690	500	444	414	400	511.26	603	419	0.697	-0.522	-3.791	0.000149749045980374	0.00164088651595464	0.0148	0.0099	0.0115	0.0115	TRUE	NA
FBgn0027552	2688	641	841	1443	603	752	1352	1003	1199	737	844	920	1009.11	1185	834	0.701	-0.513	-3.791	0.000150056111549375	0.00164226059129098	0.0223	0.0072	0.0121	0.0121	TRUE	NA
FBgn0030685	5356	1495	1444	3917	1268	1516	2694	2338	2058	2000	1775	1856	2120.21	2363	1877	0.796	-0.33	-3.789	0.00015101940104176	0.00164881085195352	0.0042	0.0057	0.0049	0.0049	TRUE	NA
FBgn0011766	12637	4136	4089	9305	3697	4304	6357	6469	5827	4752	5175	5268	5641.37	6218	5065	0.813	-0.298	-3.786	0.000153332388763302	0.00167002987279548	0.0031	0.0048	0.0043	0.0043	TRUE	NA
FBgn0087035	23986	8857	8449	16913	7819	8927	12065	13853	12041	8637	10946	10927	11411.43	12653	10170	0.799	-0.324	-3.77	0.000163179755817635	0.00177088234404732	0.005	0.0046	0.0052	0.0052	TRUE	NA
FBgn0014388	60044	17627	16054	47851	14237	16731	30203	27570	22880	24436	19931	20479	24249.47	26884	21615	0.804	-0.315	-3.769	0.000163762890404992	0.00177507977129631	0.0057	0.0044	0.005	0.005	TRUE	NA
FBgn0037363	3718	1290	1229	2955	1017	1254	1870	2018	1752	1509	1424	1535	1684.49	1880	1489	0.793	-0.334	-3.756	0.000172350715915643	0.00186369673669547	0.0032	0.006	0.0051	0.0051	TRUE	NA
FBgn0026409	15565	6269	7305	13004	6219	6891	7829	9805	10411	6641	8706	8435	8637.75	9348	7927	0.848	-0.238	-3.745	0.000180289393721912	0.00193912614854174	8e-04	0.0046	0.0028	0.0028	TRUE	NA
FBgn0036279	1862	711	746	1443	644	634	937	1112	1063	737	902	776	921.04	1037	805	0.776	-0.365	-3.745	0.000180136241296813	0.00193912614854174	0.0022	0.0074	0.0057	0.0057	TRUE	NA
