Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0053969	524	176	246	796	297	334	264	275	351	406	416	409	353.42	297	410	1.396	0.481	3.432	0.000598665123634454	0.00544568684529499	0.0078	0.0124	0.0111	0.0111	TRUE	NA
FBgn0039178	20	4	4	50	32	17	10	6	6	26	45	21	18.86	7	31	3.916	1.969	3.431	0.000600302669904896	0.00545400616677413	0.1344	0.1565	0.1499	0.1499	TRUE	NA
FBgn0038953	1455	445	470	2078	637	630	732	696	670	1061	892	771	803.62	699	908	1.298	0.376	3.429	0.000606695190837503	0.00550655072808336	0.0064	0.0079	0.0073	0.0073	TRUE	NA
FBgn0026319	1072	374	385	1364	511	575	539	585	549	697	715	704	631.43	558	705	1.267	0.342	3.424	0.000617303237058423	0.00559721290171328	0	0.0089	0.0055	0.0055	TRUE	NA
FBgn0029861	1094	432	406	1328	574	690	550	676	579	678	804	845	688.47	602	776	1.285	0.361	3.416	0.000635000245368931	0.00574614836650163	0.0026	0.0085	0.0065	0.0065	TRUE	NA
FBgn0031814	1213	457	507	1433	668	737	610	715	723	732	935	902	769.41	683	856	1.248	0.32	3.414	0.000640239612711824	0.00578735761633387	0	0.008	0.0049	0.0049	TRUE	NA
FBgn0041627	935	298	328	1140	427	514	470	466	467	582	598	629	535.48	468	603	1.285	0.362	3.414	0.000641242778169292	0.00578735761633387	0	0.0097	0.0061	0.0061	TRUE	NA
FBgn0004368	3220	1198	1198	3600	1603	1853	1620	1874	1707	1838	2244	2268	1925.21	1734	2117	1.215	0.281	3.407	0.000657793505075543	0.00591098736171264	0.0021	0.0058	0.0043	0.0043	TRUE	NA
FBgn0028690	3417	979	1105	3866	1348	1578	1719	1531	1575	1974	1887	1931	1769.59	1608	1931	1.199	0.262	3.404	0.000665268991919272	0.00596038819321131	0	0.0059	0.0037	0.0037	TRUE	NA
FBgn0032422	45	22	20	86	59	50	23	34	29	44	83	61	45.54	29	63	2.146	1.102	3.397	0.000681002774957073	0.00608928297290993	0.0057	0.0673	0.0492	0.0492	TRUE	NA
